NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
224,비키니 바 : 맛있는 서비스 무삭제,조태호,(주)영화사가을,,(주)영화사가을,20210302,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
225,빈집의 형수,김감독,(주)더레드엔터테인먼트,,(주)더레드엔터테인먼트,20210301,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
226,사일런싱,,,(주)홈초이스,(주)홈초이스,20210128,개봉영화,장편,미국,89,6000,1,0,0,공포(호러),15세이상관람가,일반영화
227,사정의 불시착,최성은,(주)영화사히트,,(주)영화사히트,20210304,개봉영화,장편,한국,1,1000,1,0,0,드라마,청소년관람불가,일반영화
228,새엄마4,최찬호,(주)영화사가을,,(주)영화사가을,20210315,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
229,새엄마의 위험한 사정,코이케.Jp,,,(주)영진크리에이티브,20210315,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
230,성인용품 판매원 쿄코의 특별한 영업,버드맨 텟페이,,,(주)영진크리에이티브,20210318,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
231,세 자매:교환섹스,히이라기 엔부,,,(주)영진크리에이티브,20210316,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
232,섹스하우스,김동해,라이어 시네마,,케이엘 픽쳐스,20210320,개봉영화,장편,한국,1,2000,1,2000,1,멜로/로맨스,청소년관람불가,일반영화
233,섹시한 방문판매원 마오,버드맨 텟페이,,,(주)영진크리에이티브,20210312,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
234,솔져스 리벤지,마이클 페이퍼,,(주)퍼스트런,(주)퍼스트런,20210325,개봉영화,장편,미국,1,6000,1,0,0,액션,15세이상관람가,일반영화
235,스카이라인: 라스트 워,리암 오도넬,,,(주)영화사 안다미로,20210308,개봉영화,장편,미국,1,1000,1,0,0,SF,15세이상관람가,독립/예술영화
236,쓰리썸씽,,,,주식회사 루믹스미디어,20210318,개봉영화,장편,미국,1,1000,1,0,0,코미디,청소년관람불가,일반영화
237,아들의 끼부리는 여자 무삭제판,사이유키,,,(주)영진크리에이티브,20210312,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
238,악녀의 악연,미야자카 타케시,,,(주)영진크리에이티브,20210331,개봉영화,장편,일본,1,6000,1,0,0,스릴러,청소년관람불가,일반영화
239,안마방: 어린 세 여자의 서비스,안혜영,주식회사 루믹스미디어,,마법사필름,20210325,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
240,야릇한 마사지 교습,버드맨 텟페이,,,(주)영진크리에이티브,20210305,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
241,야한 몸매의 다이어트녀,타나카 스나오,,,(주)영진크리에이티브,20210305,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
242,야한 제수씨의 은밀한 비밀,버드맨 텟페이,,,(주)영진크리에이티브,20210317,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
243,어린 집사,판,(주)영진크리에이티브,,(주)영진크리에이티브,20210317,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
244,어린여친,안혜영,영화사 레드카펫,,주식회사 루믹스미디어,20210303,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
245,여선생4,최성은,(주)영화사히트,,(주)영화사히트,20210310,개봉영화,장편,한국,1,1000,1,0,0,드라마,청소년관람불가,일반영화
246,여자 간병인,김환,(주)영화사가을,,(주)영화사가을,20210323,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
247,연애 : 섹스의 기술,한대위,(주)영화사가을,,(주)영화사가을,20210306,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
248,외로운 형수님의 은밀한 유혹,버드맨 텟페이,,,(주)영진크리에이티브,20210322,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
249,요요현상,고두현,영화사 금요일,,영화배급협동조합 씨네소파,20210114,개봉영화,장편,한국,27,4000,1,0,0,다큐멘터리,전체관람가,독립/예술영화
250,욕구 터진 며느리들,호소카와 켄,,,(주)영진크리에이티브,20210324,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
251,욕구불만 형수님,버드맨 텟페이,,,(주)영진크리에이티브,20210312,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
252,월세는 몸으로 낼게요,김환,(주)영화사가을,,(주)영화사가을,20210323,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
253,유부녀들:섹스스캔들,하라다 칸토나,,,(주)영진크리에이티브,20210316,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
254,육체봉사:달래드릴게요,토미죠 타로,,,(주)영진크리에이티브,20210318,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
255,음란 과외 3 - 무삭제판,김종석,너바나 필름,,(주)컨텐츠 빌리지,20210310,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
256,이 안에 외계인이 있다,최은종,"조아필름,(주)와이제이글로벌그룹,파랑필름",,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",20210203,개봉영화,장편,한국,121,7000,1,0,0,코미디,12세이상관람가,독립/예술영화
257,자매의 유혹 무삭제판,김레이,엔트리커뮤니케이션즈,,엔트리커뮤니케이션즈,20210309,개봉영화,장편,한국,1,1000,1,0,0,성인물(에로),청소년관람불가,일반영화
258,잔뜩 물오른 며느리들,밤비노 푸린,,,(주)영진크리에이티브,20210322,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
259,장모님 들어갈께요,김감독,(주)더레드엔터테인먼트,,(주)더레드엔터테인먼트,20210301,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
260,정사 : 딸의 남자친구,최찬호,(주)영화사가을,,(주)영화사가을,20210308,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
261,정사 : 타인의 아내 무삭제,조태호,(주)영화사가을,,(주)영화사가을,20210322,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
262,주짓수,디미트리 로고데티스,,,(주)영화사 안다미로,20210301,개봉영화,장편,미국,1,1000,1,0,0,액션,15세이상관람가,일반영화
263,착한 딸의 속사정,김감독,(주)더레드엔터테인먼트,,(주)더레드엔터테인먼트,20210301,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
264,착한 유부녀들 무삭제,조태호,(주)영화사가을,,(주)영화사가을,20210327,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
265,착한 처형 : 마지막 여행 무삭제,이대길,뷰소프트,,뷰소프트,20210327,개봉영화,장편,한국,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
266,처남의 여자친구,한대위,(주)영화사가을,,(주)영화사가을,20210303,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
267,처제의 뜨거운 속살,카부토가니,,,(주)영진크리에이티브,20210324,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
268,초대녀 3 - 무삭제판,김종석,모히또필름,,(주)컨텐츠 빌리지,20210324,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
269,초대받은 배달부 무삭제판,이상수,선셋 시네마,,선셋 시네마,20210318,개봉영화,장편,한국,1,6000,1,0,0,기타,청소년관람불가,일반영화
270,커플교환 : 여자친구가 원해서,한대위,(주)영화사가을,,(주)영화사가을,20210316,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
271,커플의 세계,연주윤,유한회사 영화사 반딧불,,유한회사 영화사 반딧불,20210315,개봉영화,장편,한국,1,1000,1,0,0,성인물(에로),청소년관람불가,일반영화
272,콘플릭트:비열한 거래,후지와라 켄이치,,,(주)영진크리에이티브,20210331,개봉영화,장편,일본,1,6000,1,0,0,액션,청소년관람불가,일반영화
273,타이만,나카시마 타케시,,,(주)영진크리에이티브,20210316,개봉영화,장편,일본,1,6000,1,0,0,액션,청소년관람불가,일반영화
274,하마사키 마오의 색다른 서비스,나가에 타카미,,,(주)영진크리에이티브,20210317,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
275,흐느끼는숙모-무삭제,천성준,(주)케이피에이기획,,(주)케이피에이기획,20210306,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
276,2021 첫 섹스,김동해,라이어 시네마,,케이엘 픽쳐스,20210327,개봉영화,장편,한국,1,2000,1,2000,1,멜로/로맨스,청소년관람불가,일반영화
277,21살승하의아이돌비밀일기,판,스마일컨텐츠,,스마일컨텐츠,20210308,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
278,24살윤율의섹시한젖가슴,판,스마일컨텐츠,,스마일컨텐츠,20210312,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
279,300: 전사의 귀환,크리스토퍼 포브스,,,(주)영화사 안다미로,20210322,개봉영화,장편,미국,1,1000,1,0,0,액션,15세이상관람가,일반영화
280,B형물많고화끈한처제-무삭제,판,스마일컨텐츠,,스마일컨텐츠,20210317,개봉영화,장편,한국,1,1000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
281,G컵녀의 3인 3섹,아라시야마 미치루,,,(주)빅콘미디어,20210302,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
282,O형수박가슴가정부-무삭제,판,스마일컨텐츠,,스마일컨텐츠,20210326,개봉영화,장편,한국,1,1000,1,1000,1,멜로/로맨스,청소년관람불가,일반영화
