NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
89,붉은 눈,,,(주)미디어캐슬,(주)미디어캐슬,20201224,개봉영화,장편,일본,5,765370,139,765370,139,미스터리,청소년관람불가,독립/예술영화
90,호프,마리아 소달,,(주)이놀미디어,(주)이놀미디어,20201217,개봉영화,장편,기타,171,1025940,137,579940,68,드라마,12세이상관람가,독립/예술영화
91,소년시절의 너,증국상,,(주)더세컨드웨이브,"(주)영화특별시에스엠씨,(주)콘텐츠패밀리",20200709,개봉영화,장편,중국,252,555000,97,0,0,멜로/로맨스,15세이상관람가,독립/예술영화
92,마지막 휴가,노거경,거경필름,,(주)드림팩트엔터테인먼트,20201210,개봉영화,장편,한국,11,712000,89,712000,89,기타,15세이상관람가,독립/예술영화
93,에이리,오오토모 케이시,,(주)미디어캐슬,(주)미디어캐슬,20210122,개봉영화,장편,일본,1,926540,86,926540,86,미스터리,15세이상관람가,독립/예술영화
94,라 보엠,,,,(주)케빈앤컴퍼니,20201129,개봉영화,장편,독일,7,1828900,72,1489100,60,공연,전체관람가,일반영화
95,담보,강대규,"(주)제이케이필름,(주)레드로버,(주)씨제이이엔엠,(주)영화사연",,(주)씨제이이엔엠,20200929,개봉영화,장편,한국,1342,609000,71,0,0,드라마,12세이상관람가,일반영화
96,구멍청소부,,,,(주)라온컴퍼니플러스,20210106,개봉영화,장편,일본,1,300000,60,300000,60,드라마,청소년관람불가,일반영화
97,기운센 시아버지,칸바라 나오토,,,(주)라온컴퍼니플러스,20210122,개봉영화,장편,일본,1,300000,60,300000,60,드라마,청소년관람불가,일반영화
98,너튜브 : 3인의 맛집,주현일,(주)담화,,(주)담화,20210108,개봉영화,장편,한국,1,300000,60,300000,60,성인물(에로),청소년관람불가,일반영화
99,마녀 마음을 듣는 소녀,에로핑,(주)라온컴퍼니플러스,,(주)가온콘텐츠,20210108,개봉영화,장편,한국,1,300000,60,300000,60,드라마,청소년관람불가,일반영화
100,막나가는 남편후배,,,,(주)라온컴퍼니플러스,20210122,개봉영화,장편,일본,1,300000,60,300000,60,드라마,청소년관람불가,일반영화
101,맛동생,주현일,(주)담화,,(주)담화,20210108,개봉영화,장편,한국,1,300000,60,300000,60,성인물(에로),청소년관람불가,일반영화
102,미소녀 파라다이스 베이글녀 마을,에로핑,(주)라온컴퍼니플러스,,(주)가온콘텐츠,20210112,개봉영화,장편,한국,1,300000,60,300000,60,드라마,청소년관람불가,일반영화
103,미스캡틴 : 섹시 히어로즈,악셀 브라운,,(주)픽쳐레스크,(주)픽쳐레스크,20210114,개봉영화,장편,미국,1,300000,60,300000,60,액션,청소년관람불가,일반영화
104,섹스 소녀 11,최진철,라임필름,,케이엘 픽쳐스,20210102,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
105,섹스 소녀12,최진철,라임필름,,케이엘 픽쳐스,20210103,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
106,소녀 소리를 보는 소녀,에로핑,(주)라온컴퍼니플러스,,(주)가온콘텐츠,20210108,개봉영화,장편,한국,1,300000,60,300000,60,드라마,청소년관람불가,일반영화
107,어른장난감 : 제가 해드려요?,주현일,(주)담화,,(주)담화,20210122,개봉영화,장편,한국,1,300000,60,300000,60,성인물(에로),청소년관람불가,일반영화
108,에이전트 미스터 찬,제프 청,,,(주)라온컴퍼니플러스,20210125,개봉영화,장편,중국,1,300000,60,300000,60,코미디,12세이상관람가,일반영화
109,여직원의 육체영업,,,,(주)라온컴퍼니플러스,20210122,개봉영화,장편,일본,1,300000,60,300000,60,드라마,청소년관람불가,일반영화
110,예쁜 여동생 4,최진철,라임필름,,케이엘 픽쳐스,20210118,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
111,예쁜 여동생 5,최진철,라임필름,,케이엘 픽쳐스,20210125,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
112,이모네 미용실 문 닫는 날,에로핑,(주)가온콘텐츠,,(주)가온콘텐츠,20210125,개봉영화,장편,한국,1,300000,60,300000,60,드라마,청소년관람불가,일반영화
113,인턴의 입사교육,,,,(주)라온컴퍼니플러스,20210114,개봉영화,장편,일본,1,300000,60,300000,60,드라마,청소년관람불가,일반영화
114,해브 어 나이스 데이,류건,,,(주)라온컴퍼니플러스,20210125,개봉영화,장편,중국,1,300000,60,300000,60,애니메이션,15세이상관람가,일반영화
115,황금화 : 엄마의 일기,,,,(주)라온컴퍼니플러스,20210125,개봉영화,장편,홍콩,1,300000,60,300000,60,드라마,15세이상관람가,일반영화
116,18 성인배우 이수의 섹스 판타지,최진철,라임필름,,케이엘 픽쳐스,20210126,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
117,18 클럽녀 새봄의 섹스 파티,최진철,라임필름,,케이엘 픽쳐스,20210104,개봉영화,장편,한국,1,300000,60,300000,60,성인물(에로),청소년관람불가,일반영화
118,18 BJ 하연의 화려한 테크닉,최진철,라임필름,,케이엘 픽쳐스,20210112,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
119,2020년 마지막 섹스,최진철,라임필름,,케이엘 픽쳐스,20210107,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
120,걸후드,셀린 시아마,,(주)블루라벨픽쳐스,(주)영화특별시에스엠씨,20201112,개봉영화,장편,프랑스,175,554000,59,554000,59,드라마,12세이상관람가,독립/예술영화
121,그리고 우린 춤을 추었다,레반 아킨,,(주)엣나인필름,(주)엣나인필름,20201125,개봉영화,장편,프랑스,79,620410,59,620410,59,드라마,15세이상관람가,독립/예술영화
122,"그리고, 살아간다",츠키카와 쇼,,(주)미디어캐슬,(주)미디어캐슬,20210115,개봉영화,장편,일본,1,472240,52,472240,52,드라마,12세이상관람가,독립/예술영화
123,에듀케이션,김덕중,"(주)타이거시네마,DGC",,영화배급협동조합 씨네소파,20201126,개봉영화,장편,한국,23,394000,50,258000,29,드라마,12세이상관람가,독립/예술영화
124,애비규환,최하나,"(주)아토,(주)모토",,(주)리틀빅픽쳐스,20201112,개봉영화,장편,한국,453,307500,49,198000,22,드라마,12세이상관람가,독립/예술영화
125,그날이 온다,크리스토퍼 모리스,,(유)조이앤시네마,(주)제이앤씨미디어그룹,20201209,개봉영화,장편,영국,105,46000,46,3000,3,코미디,15세이상관람가,독립/예술영화
126,봉쇄수도원 카르투시오,김동일,"KBS,커넥트픽쳐스(주),피엠픽쳐스",,커넥트픽쳐스(주),20201119,개봉영화,장편,한국,125,359470,45,313470,37,다큐멘터리,전체관람가,독립/예술영화
127,지옥의 묵시록 파이널 컷,프란시스 포드 코폴라,,(주)엔케이컨텐츠,(주)디스테이션,20201126,개봉영화,장편,미국,64,450000,45,450000,45,전쟁,청소년관람불가,독립/예술영화
128,안티고네,소피 드라스프,,그린나래미디어(주),"그린나래미디어(주),(주)키다리이엔티",20201119,개봉영화,장편,캐나다,130,360910,43,265410,29,드라마,15세이상관람가,독립/예술영화
129,교실 안의 야크,,,주식회사 슈아픽처스,주식회사 슈아픽처스,20200930,개봉영화,장편,기타,30,193470,39,0,0,드라마,전체관람가,독립/예술영화
130,로맨틱 코미디,,,(주)영화사 안다미로,(주)영화사 안다미로,20201203,개봉영화,장편,미국,28,185000,33,161000,25,다큐멘터리,12세이상관람가,독립/예술영화
131,퍼스트 러브,미이케 다카시,,"(주)도키엔터테인먼트,와이드 릴리즈(주)",와이드 릴리즈(주),20201217,개봉영화,장편,일본,79,306000,32,229000,23,범죄,청소년관람불가,독립/예술영화
132,미스터트롯: 더 무비,전수경,(주)영화사 그램,,(주)영화사 그램,20201022,개봉영화,장편,한국,449,58000,29,0,0,공연,전체관람가,일반영화
133,포기와 베스,,,(주) 인스터 글로벌,(주) 인스터 글로벌,20201006,개봉영화,장편,미국,7,799900,28,637900,22,공연,12세이상관람가,일반영화
134,극장판 미니특공대: 햄버거괴물의 습격,이영준,(주)삼지애니메이션,,(주)리틀빅픽쳐스,20200930,개봉영화,장편,한국,414,214540,26,0,0,애니메이션,전체관람가,일반영화
135,교수님의 이중생활,윤준세,(주)영진크리에이티브,,(주)영진크리에이티브,20210126,개봉영화,장편,한국,20,71000,25,3000,2,멜로/로맨스,청소년관람불가,일반영화
136,음악,,,,(주)미디어캐슬,20210116,개봉영화,장편,일본,1,233400,24,233400,24,애니메이션,12세이상관람가,독립/예술영화
137,페이블,에구치 칸,,(주)미디어캐슬,쇼치쿠,20210116,개봉영화,장편,일본,1,189510,21,189510,21,코미디,15세이상관람가,독립/예술영화
