순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
22985,사형도수,원화평,,한진흥업주식회사,,1979-12-21,개봉영화,장편,홍콩,0,0,0,0,576953,액션,국민학생관람불가,일반영화
22986,사형사제,최우형,대영영화주식회사,,,1982-09-18,개봉영화,장편,한국,0,0,0,0,7916,드라마,국민학생관람불가,일반영화
22987,사형삼걸,남기남,대양필름(주),,,1981-05-23,개봉영화,장편,한국,0,0,0,0,5685,범죄,국민학생관람불가,일반영화
22988,사후세계,장일호,한진흥업주식회사,,,1982-02-19,개봉영화,장편,한국,0,0,0,0,12672,드라마,연소자관람불가,일반영화
22989,산녀,권영순,한진흥업주식회사,,,1973-05-05,개봉영화,장편,한국,0,N/A,0,N/A,20769,멜로/로맨스,12세이상관람가,일반영화
22990,산동 반점,김선경,신한영화(주),,,1983-11-02,개봉영화,장편,한국,0,0,0,0,2510,드라마,연소자관람불가,일반영화
22991,산동물장수,김선경,대영영화주식회사,,,1982-08-01,개봉영화,장편,한국,0,0,0,0,23826,사극,국민학생관람불가,일반영화
22992,산동여자 물장수,김선경,대영영화주식회사,,,1983-02-25,개봉영화,장편,한국,0,0,0,0,9742,드라마,연소자관람불가,일반영화
22993,산드라 부인,알몬드 포,,한진흥업주식회사,,1989-02-04,개봉영화,장편,아르헨티나,0,0,0,0,14514,드라마,연소자관람불가,일반영화
22994,산딸기,김수형,남아진흥(주),,,1982-09-04,개봉영화,장편,한국,0,0,0,0,50374,멜로/로맨스,연소자관람불가,일반영화
22995,산딸기 2,김수형,남아진흥(주),,,1985-02-02,개봉영화,장편,한국,0,0,0,0,34563,드라마,연소자관람불가,일반영화
22996,산딸기 3,김수형,남아진흥(주),,,1987-04-18,개봉영화,장편,한국,0,0,0,0,10675,드라마,미성년자관람불가,일반영화
22997,산딸기 4,윤지형,(주)태광영화사,,,1991-03-23,개봉영화,장편,한국,0,0,0,0,8921,성인물(에로),연소자관람불가,일반영화
22998,산딸기 5,,(주)태광영화사,,,1992-01-18,개봉영화,장편,한국,0,0,0,0,10436,성인물(에로),연소자관람불가,일반영화
22999,산딸기 6,김수형,(주)서강기획,,,1994-07-16,개봉영화,장편,한국,0,0,0,0,1152,성인물(에로),연소자관람불가,일반영화
23000,산배암,정지영,신한영화(주),,,1988-08-27,개봉영화,장편,한국,0,0,0,0,5323,멜로/로맨스,연소자관람불가,일반영화
23001,산부인과,박철수,(주)제이콤,,,1997-05-31,개봉영화,장편,한국,0,0,0,0,110640,코미디,연소자관람불가,일반영화
23002,산불,김수용,태창흥업,,,1977-09-09,개봉영화,장편,한국,0,N/A,0,N/A,69761,드라마,12세이상관람가,일반영화
23003,산산이 부서진 이름이여,정지영,(주)성일씨네마트,,,1991-05-25,개봉영화,장편,한국,0,0,0,0,10440,드라마,중학생이상관람가,일반영화
23004,산전수전,구임서,(주)태원엔터테인먼트,,,1999-02-27,개봉영화,장편,한국,0,0,0,0,15844,코미디,15세 미만인 자는 관람할 수 없는 등급,일반영화
23005,산중전기,박윤교호금전,세경진흥(주),,,1979-12-23,개봉영화,장편,한국,0,N/A,0,N/A,47753,드라마,연소자관람불가,일반영화
23006,산책,이정국,지오엔터테인먼트,,,2000-03-11,개봉영화,장편,한국,0,0,0,0,7077,가족,12세관람가,일반영화
23007,산타클로스,존 파스킨,월트디즈니,월트디즈니,,1995-12-09,개봉영화,장편,미국,0,0,0,0,51745,코미디,연소자관람가,일반영화
23008,살꼬지,차성호,동서영화㈜,,,1989-03-18,개봉영화,장편,한국,0,0,0,0,3919,성인물(에로),연소자관람불가,일반영화
23009,살로메의 계절,,프랑스3시네마,(주)다남흥업,,1989-07-01,개봉영화,장편,프랑스,0,0,0,0,10218,드라마,연소자관람불가,일반영화
23010,살롱키티,틴토 브라스,,(주)한영필림,,1997-03-29,개봉영화,장편,이탈리아,0,0,0,0,529,성인물(에로),연소자관람불가,일반영화
23011,살바도르,올리버 스톤,,(주)삼영필림,,1988-07-16,개봉영화,장편,미국,0,0,0,0,214394,드라마,고등학생이상관람가,일반영화
23012,살사,조이스 버누엘,까날 플러스 에스파냐,(주)씨네월드,,2000-01-22,개봉영화,장편,프랑스,0,0,0,0,1524,멜로/로맨스,18세관람가,일반영화
23013,살사댄싱,보아즈 데이비슨,,(주)대일필림,,1988-12-17,개봉영화,장편,미국,0,0,0,0,11784,드라마,고등학생이상관람가,일반영화
23014,살수천사,노준곡,,신한영화(주),,1989-09-12,개봉영화,장편,홍콩,0,0,0,0,46412,액션,고등학생이상관람가,일반영화
23015,살수특경,저직경여적렴,,,,1992-03-28,개봉영화,장편,홍콩,0,0,0,0,265,액션,고등학생이상관람가,일반영화
23016,살수특급,담가명,,삼도,,1989-09-13,개봉영화,장편,홍콩,0,0,0,0,3072,액션,고등학생이상관람가,일반영화
23017,살어리랏다,윤삼육,삼육필림,,,1993-08-21,개봉영화,장편,한국,0,0,0,0,40229,사극,연소자관람불가,일반영화
23018,살인개스,매니 코토,,동보흥행(주),,1991-02-09,개봉영화,장편,미국,0,0,0,0,15400,액션,중학생이상관람가,일반영화
23019,살인공창 마루타,하지강,,한국영화배급㈜,,1991-12-19,개봉영화,장편,중국,0,0,0,0,12817,액션,고등학생이상관람가,일반영화
23020,살인광시대,찰리 채플린,찰리채플린프로덕션유나이티드 아티스트,(주)엣나인필름(주)우진필림,(주)엣나인필름유나이티드 아티스트,1990-09-29,개봉영화,장편,미국,0,0,0,0,5340,드라마,연소자관람가,일반영화
23021,살인나비를 쫓는 여자,김기영,(주)우진필림,,,1979-12-08,개봉영화,장편,한국,0,N/A,0,N/A,14275,드라마,국민학생관람불가,일반영화
23022,살인마 잠비3,루치오 폴치,,(주)반도영상,,1990-08-10,개봉영화,장편,이탈리아,0,0,0,0,8982,공포(호러),고등학생이상관람가,일반영화
23023,살인에 관한 짧은 필름,크지슈토프 키에슬로프스키,제스폴 필모이 "토르",(주)영화사 안다미로칸미디어,(주)영화사 안다미로,1997-07-05,개봉영화,장편,폴란드,0,0,0,0,4852,범죄,연소자관람불가,일반영화
23024,살인전담 호미싸이드,데이빗 마멧,,(주)우진필림,,1992-04-04,개봉영화,장편,미국,0,0,0,0,5131,범죄,중학생이상관람가,일반영화
23025,살인주먹,프랭크 주니기,,광명,,1991-05-04,개봉영화,장편,미국,0,0,0,0,5745,액션,고등학생이상관람가,일반영화
23026,살인추적,닐 훤리,사반 엔터테인먼트,리브라더스엔터테인먼트,,1993-03-27,개봉영화,장편,미국,0,0,0,0,276,드라마,연소자관람불가,일반영화
23027,살인키스,알렉산더 화이트로,,(주)미도영화사,트라이마크 픽쳐스,1998-01-15,개봉영화,장편,미국,0,0,0,0,334,드라마,18세 미만인 자는 관람할 수 없는 등급,일반영화
23028,살출,크레이 보리스,뉴라인 시네마,,뉴라인 시네마,1990-02-17,개봉영화,장편,미국,0,0,0,0,5657,액션,고등학생이상관람가,일반영화
23029,살출군영,왕진앙,,범진영화(주),,1991-01-19,개봉영화,장편,홍콩,0,0,0,0,7546,액션,고등학생이상관람가,일반영화
23030,삶의 색,패트리시아 플라트너,,,,,개봉영화,장편,프랑스,0,0,0,0,0,드라마,,일반영화
23031,삼각의 함정,이만희,태창흥업,,,1975-02-01,개봉영화,장편,한국,0,N/A,0,N/A,3447,멜로/로맨스,12세이상관람가,일반영화
23032,삼국대협,임권택,(주)우진필림,,,1972-09-22,개봉영화,장편,한국,0,N/A,0,N/A,41976,사극,12세이상관람가,일반영화
23033,삼국여한,김인수,동아흥행㈜,,,1982-08-12,개봉영화,장편,한국,0,0,0,0,21510,공포(호러),연소자관람불가,일반영화
23034,삼국지,양길우,,(주)모가드코리아,,1990-08-11,개봉영화,장편,중국,0,0,0,0,108857,사극,연소자관람가,일반영화
23035,삼국지,김청기,,,,1980-01-16,개봉영화,장편,한국,0,N/A,0,N/A,63377,사극,연소자관람가,일반영화
23036,삼나무에 내리는 눈,스콧 힉스,유니버셜 픽쳐스,,UIP코리아,2000-02-19,개봉영화,장편,미국,0,0,0,0,17011,드라마,12세관람가,일반영화
23037,삼손과 데릴라,세실 B. 데밀,,연방영화(주),,1974-12-21,개봉영화,장편,미국,0,0,0,0,158373,드라마,청소년관람불가,독립/예술영화
23038,삼양동 정육점,신정균,와이투시네마(주),,와이투시네마(주),1999-11-27,개봉영화,장편,한국,0,0,0,0,6823,멜로/로맨스,18세관람가,일반영화
23039,삼원녀,김시현,연방영화(주),,,1981-05-16,개봉영화,장편,한국,0,0,0,0,7597,드라마,연소자관람불가,일반영화
23040,삼인호객,정진우,(주)우진필림,,,1977-09-16,개봉영화,장편,한국,0,N/A,0,N/A,35092,드라마,12세이상관람가,일반영화
23041,삼일천하,신상옥,(주)삼영필림,,,1973-02-15,개봉영화,장편,한국,0,N/A,0,N/A,14707,사극,전체관람가,일반영화
23042,삼중성,최기풍,비유엠영화,,,1991-12-21,개봉영화,장편,한국,0,0,0,0,1354,SF,연소자관람가,일반영화
23043,삼총사,리차드 레스터,,연방영화(주),,1973-08-26,개봉영화,장편,미국,0,0,0,0,121648,사극,,일반영화
23044,삼총사 타임머신 001,임정규,선우프로덕션(주),,,1980-01-12,개봉영화,장편,한국,0,N/A,0,N/A,97700,SF,연소자관람가,일반영화
23045,삼토스와 댕기똘이,김청기,(주)서울동화엔터프라이즈,,,1990-01-05,개봉영화,장편,한국,0,0,0,0,664,드라마,연소자관람가,일반영화
23046,삼포가는 길,이만희,연방영화(주),,,1975-05-23,개봉영화,장편,한국,0,N/A,0,N/A,13418,드라마,청소년관람불가,독립/예술영화
23047,삿갓 쓴 장고,최영철,현진필름,,,1986-01-29,개봉영화,장편,한국,0,0,0,0,573,드라마,국민학생관람불가,일반영화
23048,삿뽀로의 밤사냥,이혁수,한국영화배급㈜,,,1987-05-02,개봉영화,장편,한국,0,0,0,0,10061,성인물(에로),미성년자관람불가,일반영화
23049,상어이빨,브루노 바일라티,,(주)동아수출공사,,1977-12-15,개봉영화,장편,이탈리아,0,N/A,0,N/A,38528,다큐멘터리,,일반영화
23050,상처,김기,세경진흥(주),,,1978-11-04,개봉영화,장편,한국,0,0,0,0,208960,드라마,12세이상관람가,일반영화
23051,상처,곽지균,(주)동아수출공사,,,1989-02-18,개봉영화,장편,한국,0,0,0,0,86541,멜로/로맨스,연소자관람불가,일반영화
23052,상처뿐인 영광,로버트 와이즈,,세기,,1971-06-26,개봉영화,장편,미국,0,0,0,0,13933,드라마,,독립/예술영화
23053,상하이 눈,톰 듀이,,월트디즈니컴퍼니코리아(주),,2000-08-05,개봉영화,장편,미국,0,0,0,0,206571,액션,12세관람가,일반영화
23054,상해 1920,,,(주)반도영상,,1992-02-01,개봉영화,장편,홍콩,0,0,0,0,14045,액션,중학생이상관람가,일반영화
23055,상해탄,반문걸,,삼영필림,,1996-09-21,개봉영화,장편,홍콩,0,0,0,0,46635,액션,고등학생이상관람가,일반영화
23056,새남터의 북소리,최하원,새한필림,,,1972-01-14,개봉영화,장편,한국,0,N/A,0,N/A,19324,,,일반영화
23057,새는 폐곡선을 그린다,전수일,(주)동녘필름,,(주)씨네월드(주)미로비젼,2002-03-01,개봉영화,장편,한국,0,N/A,0,N/A,1078,드라마,15세관람가,독립/예술영화
23058,새댁 나팔을 불기 시작했다,김수형,태창흥업,,,1984-03-31,개봉영화,장편,한국,0,0,0,0,5637,가족,연소자관람불가,일반영화
