순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
1,명량,김한민,(주)빅스톤픽쳐스,,(주)씨제이이엔엠,2014-07-30,개봉영화,장편,한국,1587,135748398910,17613682,33121225810,4163666,사극,15세이상관람가,일반영화
2,극한직업,이병헌,(주)어바웃잇영화사 해그림 주식회사(주)씨제이이엔엠,,(주)씨제이이엔엠,2019-01-23,개봉영화,장편,한국,1978,139647979516,16264944,31858660536,3638287,코미디,15세이상관람가,일반영화
3,신과함께-죄와 벌,김용화,리얼라이즈픽쳐스(주)(주)덱스터스튜디오,,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,1912,115698654137,14410754,27530825087,3346172,판타지,12세이상관람가,일반영화
4,국제시장,윤제균,(주)제이케이필름(주)씨제이이엔엠,,(주)씨제이이엔엠,2014-12-17,개봉영화,장편,한국,966,110828014630,14245998,25842519330,3233946,드라마,12세이상관람가,일반영화
5,어벤져스: 엔드게임,안소니 루소조 루소,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,개봉영화,장편,미국,2835,122182694160,13934592,33577136860,3597963,액션,12세이상관람가,일반영화
6,겨울왕국 2,크리스 벅제니퍼 리,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,개봉영화,장편,미국,2648,114810421450,13747792,28824682580,3225974,애니메이션,전체관람가,일반영화
7,아바타,제임스 카메론,이십세기폭스필름코퍼레이션,주식회사 해리슨앤컴퍼니이십세기폭스코리아(주),주식회사 해리슨앤컴퍼니이십세기폭스코리아(주),2009-12-17,개봉영화,장편,미국,912,128447097523,13624328,40547523000,3993374,SF,12세이상관람가,독립/예술영화
8,베테랑,류승완,(주)외유내강(주)필름케이,,(주)씨제이이엔엠,2015-08-05,개봉영화,장편,한국,1064,105024756250,13395400,26766369950,3290366,액션,15세이상관람가,일반영화
9,괴물,봉준호,영화사청어람(주),,(주)쇼박스,2006-07-27,개봉영화,장편,한국,0,0,13019740,0,3571254,SF,12세관람가,일반영화
10,도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,개봉영화,장편,한국,1072,93665568500,12983330,26089426500,3468906,액션,15세이상관람가,일반영화
11,7번방의 선물,이환경,(주)화인웍스(주)씨엘엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,91431914670,12811206,22800931670,3070053,코미디,15세이상관람가,일반영화
12,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,1519,98463132781,12705700,25306651181,3155960,액션,15세이상관람가,일반영화
13,범죄도시2,이상용,주식회사 빅펀치픽쳐스(주)홍필름(주)비에이엔터테인먼트,,주식회사 에이비오엔터테인먼트플러스엠 엔터테인먼트,2022-05-18,개봉영화,장편,한국,2498,131293353478,12692959,29072759869,2755760,범죄,15세이상관람가,일반영화
14,알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,개봉영화,장편,미국,1311,106983620359,12555894,30218911039,3377404,어드벤처,전체관람가,일반영화
15,광해 왕이 된 남자,추창민,리얼라이즈픽쳐스(주)(주)씨제이이엔엠,,(주)씨제이이엔엠,2012-09-13,개봉영화,장편,한국,810,88900208769,12319542,25192804727,3355700,사극,15세이상관람가,일반영화
16,왕의 남자,이준익,(주)씨네월드(주)이글픽쳐스,,(주)시네마서비스,2005-12-29,개봉영화,장편,한국,0,0,12302831,0,3660842,드라마,15세이상관람가,일반영화
17,신과함께-인과 연,김용화,리얼라이즈픽쳐스(주)(주)덱스터스튜디오,,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,2235,102476768809,12253247,22905551759,2636542,판타지,12세이상관람가,일반영화
18,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,1906,95284747049,12099971,22186916199,2729932,드라마,15세이상관람가,일반영화
19,태극기 휘날리며,강제규,강제규필름,,(주)다자인소프트(주)쇼박스,2004-02-05,개봉영화,장편,한국,0,0,11746135,0,3509563,전쟁,15세관람가,일반영화
20,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,1788,93175877048,11565078,23020827248,2754686,액션,15세이상관람가,일반영화
21,해운대,윤제균,(주)제이케이필름,,CJ ENM,2009-07-22,개봉영화,장편,한국,753,81934638201,11453338,21141403500,2791508,액션,12세이상관람가,일반영화
22,변호인,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,82856578300,11372451,22571929000,2978688,드라마,15세이상관람가,일반영화
23,어벤져스: 인피니티 워,안소니 루소조 루소,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,개봉영화,장편,미국,2553,99919006769,11211880,28631269069,3008819,액션,12세이상관람가,일반영화
24,실미도,강우석,(주)시네마서비스,,(주)시네마서비스,2003-12-24,개봉영화,장편,한국,0,0,11081000,0,3264000,전쟁,15세관람가,일반영화
25,아바타: 물의 길,제임스 카메론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14,개봉영화,장편,미국,2809,137587341964,10801074,35452010003,2621620,액션,12세이상관람가,일반영화
26,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아 유한책임회사월트디즈니컴퍼니코리아(주),2015-04-23,개봉영화,장편,미국,1843,88582586366,10494499,25001906266,2823388,액션,12세이상관람가,일반영화
27,기생충,봉준호,(주)바른손이앤에이,,(주)씨제이이엔엠,2019-05-30,개봉영화,장편,한국,1948,87459829095,10313086,24128560195,2790209,드라마,15세이상관람가,일반영화
28,겨울왕국,크리스 벅제니퍼 리,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,개봉영화,장편,미국,1010,82461504400,10296101,25847243500,3003446,애니메이션,전체관람가,일반영화
29,인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,개봉영화,장편,미국,1342,82274331200,10273803,25500349600,3079036,SF,12세이상관람가,일반영화
30,보헤미안 랩소디,브라이언 싱어,,이십세기폭스코리아(주),월트디즈니컴퍼니코리아 유한책임회사이십세기폭스코리아(주),2018-10-31,개봉영화,장편,미국,936,86280975785,9948386,27849793695,3097336,드라마,12세이상관람가,일반영화
31,검사외전,이일형,(주)영화사 월광(주)사나이픽처스,,(주)쇼박스,2016-02-03,개봉영화,장편,한국,1812,77252755264,9699092,18302525664,2219587,범죄,15세이상관람가,일반영화
32,엑시트,이상근,(주)외유내강(주)필름케이,,(주)씨제이이엔엠,2019-07-31,개봉영화,장편,한국,1660,79232212162,9426051,18533549352,2132869,코미디,12세이상관람가,일반영화
33,관상,한재림,(주)주피터필름(주)쇼박스,,(주)쇼박스,2013-09-11,개봉영화,장편,한국,1190,66005451500,9134586,19311179000,2561744,사극,15세이상관람가,일반영화
34,아이언맨 3,쉐인 블랙,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,개봉영화,장편,미국,1381,70806191000,9001309,21668935500,2595269,액션,12세이상관람가,일반영화
35,설국열차,봉준호,모호필름오퍼스픽쳐스(유),,(주)씨제이이엔엠,2013-08-01,개봉영화,장편,한국,1128,64016480000,8914845,18975866000,2550437,SF,15세이상관람가,일반영화
36,캡틴 아메리카: 시빌 워,안소니 루소조 루소,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아 유한책임회사월트디즈니컴퍼니코리아(주),2016-04-27,개봉영화,장편,미국,1991,72672111827,8677249,21248121149,2400069,액션,12세이상관람가,일반영화
37,수상한 그녀,황동혁,(주)예인플러스엔터테인먼트아이앤코스모스(주)시네와이즈필름,,(주)씨제이이엔엠,2014-01-22,개봉영화,장편,한국,692,62696639249,8656397,15358810049,2042110,드라마,15세이상관람가,일반영화
38,해적: 바다로 간 산적,이석훈,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,개봉영화,장편,한국,838,66240631706,8646758,14906345006,1868694,어드벤처,12세이상관람가,일반영화
39,국가대표,김용화,케이엠컬쳐㈜,,(주)쇼박스,2009-07-29,개봉영화,장편,한국,580,60896633308,8487894,16782332500,2213346,드라마,12세이상관람가,일반영화
40,디워,심형래,㈜영구아트,,(주)쇼박스,2007-08-01,개봉영화,장편,한국,0,0,8426973,0,2098438,액션,12세이상관람가,일반영화
41,백두산,이해준김병서,주식회사 덱스터 픽쳐스(주)퍼펙트스톰필름(주)씨제이이엔엠,,(주)씨제이이엔엠(주)덱스터스튜디오,2019-12-19,개봉영화,장편,한국,1971,69825366300,8252669,15055877210,1724785,어드벤처,12세이상관람가,일반영화
42,과속스캔들,강형철,(주)토일렛픽쳐스(주)디씨지플러스,,롯데쇼핑㈜롯데엔터테인먼트,2008-12-03,개봉영화,장편,한국,405,53940101534,8245523,16515292833,2390408,코미디,12세이상관람가,일반영화
43,탑건: 매버릭,조셉 코신스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-06-22,개봉영화,장편,미국,1975,87855360975,8177446,25925045991,2309600,액션,12세이상관람가,일반영화
44,스파이더맨: 파 프롬 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07-02,개봉영화,장편,미국,2142,69000711100,8020208,18515112400,2051196,액션,12세이상관람가,일반영화
45,웰컴 투 동막골,박광현,필름있수다(주)쇼박스,,(주)쇼박스,2005-08-04,개봉영화,장편,한국,0,0,8008622,0,2435088,전쟁,12세관람가,일반영화
46,공조,김성훈,(주)제이케이필름(주)씨제이이엔엠(주)영화사 이창(주)에이치비엔터테인먼트,,(주)씨제이이엔엠,2017-01-18,개봉영화,장편,한국,976,63781731326,7817446,14672808676,1744624,액션,15세이상관람가,일반영화
47,트랜스포머 3,마이클 베이,,(주)씨제이이엔엠,(주)씨제이이엔엠,2011-06-29,개봉영화,장편,미국,1409,74841350500,7784807,21746223000,2143018,액션,12세이상관람가,일반영화
48,히말라야,이석훈,(주)제이케이필름,,(주)씨제이이엔엠,2015-12-16,개봉영화,장편,한국,1009,60173583015,7759473,13920553930,1738016,드라마,12세이상관람가,일반영화
49,미션임파서블:고스트프로토콜,브래드 버드,파라마운트 픽쳐스,(주)씨제이이엔엠,(주)씨제이이엔엠,2011-12-15,개봉영화,장편,미국,1038,57795846000,7575899,18719283500,2347164,액션,15세이상관람가,일반영화
50,스파이더맨: 노 웨이 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-15,개봉영화,장편,미국,2948,75193912210,7551990,21054819760,2041418,액션,12세이상관람가,일반영화
51,트랜스포머: 패자의 역습,마이클 베이,드림웍스 SKG파라마운트 픽쳐스,CJ ENM,CJ ENM,2009-06-24,개봉영화,장편,미국,1129,51478531663,7505700,16083028500,2200557,SF,12세이상관람가,일반영화
52,밀정,김지운,(주)다크서클픽쳐스워너브러더스 코리아(주)(주)영화사하얼빈,,워너브러더스 코리아(주),2016-09-07,개봉영화,장편,한국,1444,61158644831,7487545,15436298021,1827424,액션,15세이상관람가,일반영화
53,최종병기 활,김한민,(주)디씨지플러스(주)다세포클럽,,롯데쇼핑㈜롯데엔터테인먼트,2011-08-10,개봉영화,장편,한국,615,55808856500,7466976,16139541000,2059847,사극,15세이상관람가,일반영화
54,트랜스포머,마이클 베이,드림웍스픽쳐스드림웍스 SKG파라마운트 픽쳐스,CJ ENM,CJ ENM,2007-06-28,개봉영화,장편,미국,0,0,7440531,0,2300866,SF,12세이상관람가,일반영화
55,써니,강형철,(주)알로하픽쳐스(주)토일렛픽쳐스,,(주)씨제이이엔엠,2011-05-04,개봉영화,장편,한국,472,53773170600,7328820,15401904600,2004824,드라마,15세이상관람가,일반영화
56,화려한 휴가,김지훈,기획시대(주),,CJ ENM,2007-07-25,개봉영화,장편,한국,0,0,7307993,0,2009666,드라마,12세이상관람가,일반영화
57,한산: 용의 출현,김한민,(주)빅스톤픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2022-07-27,개봉영화,장편,한국,2223,73700628377,7264934,15974849913,1513672,액션,12세이상관람가,일반영화
58,스파이더맨: 홈 커밍,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,개봉영화,장편,미국,1965,59120173820,7257973,16753103620,1969107,액션,12세이상관람가,일반영화
59,1987,장준환,(주)우정필름,,(주)씨제이이엔엠,2017-12-27,개봉영화,장편,한국,1299,58165581145,7231638,14638920495,1776877,드라마,15세이상관람가,일반영화
60,베를린,류승완,(주)외유내강(주)씨제이이엔엠,,(주)씨제이이엔엠,2013-01-30,개봉영화,장편,한국,894,52354931637,7166199,16070379637,2118794,액션,15세이상관람가,일반영화
61,마스터,조의석,영화사 집,,(주)씨제이이엔엠,2016-12-21,개봉영화,장편,한국,1501,58067927865,7150541,14520299965,1731940,액션,15세이상관람가,일반영화
62,터널,김성훈,(주)어나더썬데이(주)비에이엔터테인먼트,,(주)쇼박스,2016-08-10,개봉영화,장편,한국,1105,57510324417,7118592,14121558017,1675010,드라마,12세이상관람가,일반영화
63,어벤져스,조스 웨던,,한국소니픽쳐스릴리징브에나비스타영화㈜,월트디즈니컴퍼니코리아 유한책임회사한국소니픽쳐스릴리징브에나비스타영화㈜,2012-04-26,개봉영화,장편,미국,967,59557853478,7074867,19280107897,2147619,액션,12세이상관람가,일반영화
64,내부자들,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-11-19,개봉영화,장편,한국,1075,56596582057,7071763,16340245357,1972885,범죄,청소년관람불가,일반영화
65,인천상륙작전,이재한,(주)태원엔터테인먼트,,(주)씨제이이엔엠,2016-07-27,개봉영화,장편,한국,1049,55101410303,7049643,11459996563,1427944,전쟁,12세이상관람가,일반영화
66,공조2: 인터내셔날,이석훈,(주)제이케이필름(주)씨제이이엔엠,,(주)씨제이이엔엠,2022-09-07,개봉영화,장편,한국,2389,70884583586,6979319,15028120901,1444987,액션,15세이상관람가,일반영화
67,럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,개봉영화,장편,한국,1158,56361435256,6965706,13812629836,1640015,코미디,15세이상관람가,일반영화
68,은밀하게 위대하게,장철수,(주)엠씨엠씨,,(주)쇼박스,2013-06-05,개봉영화,장편,한국,1341,48663939413,6953800,12415574413,1691014,액션,15세이상관람가,일반영화
69,곡성,나홍진,(주)사이드미러이십세기폭스 인터내셔널 프로덕션,,이십세기폭스코리아(주),2016-05-12,개봉영화,장편,한국,1485,55853108382,6878264,15445041342,1829923,미스터리,15세이상관람가,일반영화
70,범죄도시,강윤성,(주)홍필름(주)비에이엔터테인먼트,,플러스엠 엔터테인먼트(주)키위미디어그룹,2017-10-03,개봉영화,장편,한국,1315,56077813249,6851297,14046905449,1670254,범죄,청소년관람불가,일반영화
71,타짜,최동훈,(주)싸이더스(주)영화사참,,CJ ENM,2006-09-28,개봉영화,장편,한국,0,0,6847777,0,2091058,드라마,18세관람가,일반영화
72,좋은 놈 나쁜 놈 이상한 놈,김지운,(주)다크서클픽쳐스(주)바른손이앤에이,,CJ ENM,2008-07-17,개봉영화,장편,한국,825,43768628939,6686912,13860913000,2012173,서부극(웨스턴),15세이상관람가,일반영화
73,늑대소년,조성희,(주)영화사비단길,,(주)씨제이이엔엠,2012-10-31,개봉영화,장편,한국,706,46593107500,6654837,12336313500,1677173,멜로/로맨스,15세이상관람가,일반영화
74,미녀는 괴로워,김용화,리얼라이즈픽쳐스(주)케이엠컬쳐㈜,,(주)쇼박스,2006-12-14,개봉영화,장편,한국,0,0,6619498,0,1934910,멜로/로맨스,12세이상관람가,일반영화
75,군함도,류승완,(주)외유내강(주)필름케이,,(주)씨제이이엔엠,2017-07-26,개봉영화,장편,한국,2027,50510565168,6592151,11091878868,1398649,액션,15세이상관람가,일반영화
76,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2018-07-25,개봉영화,장편,미국,1957,55888375112,6584915,14891043562,1686255,액션,15세이상관람가,일반영화
77,다크 나이트 라이즈,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-07-19,개봉영화,장편,미국,1210,47644838000,6396528,16258149500,2057529,액션,15세이상관람가,일반영화
78,아저씨,이정범,오퍼스픽쳐스(유),,CJ ENM,2010-08-04,개봉영화,장편,한국,478,47870792359,6282774,14820865000,1863328,액션,청소년관람불가,일반영화
79,사도,이준익,(주)타이거픽쳐스,,(주)쇼박스,2015-09-16,개봉영화,장편,한국,1210,48842902501,6246849,12987928301,1606486,사극,12세이상관람가,일반영화
80,전우치,최동훈,영화사 집,,CJ ENM,2009-12-23,개봉영화,장편,한국,606,44605437017,6136928,12917834500,1684123,액션,12세이상관람가,일반영화
81,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,개봉영화,장편,미국,1202,48547353607,6126488,13751315607,1669524,액션,15세이상관람가,일반영화
82,킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-02-11,개봉영화,장편,미국,706,50333635795,6125154,16707645195,1968882,액션,청소년관람불가,일반영화
83,투사부일체,김동원,(주)시네마제니스,,CJ ENM,2006-01-19,개봉영화,장편,한국,0,0,6105431,0,1502821,코미디,15세관람가,일반영화
84,연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,개봉영화,장편,한국,1013,45560620330,6043458,9906059630,1265879,드라마,12세이상관람가,일반영화
85,반지의 제왕 : 왕의 귀환,피터 잭슨,,워너브러더스 코리아(주)(주)태원엔터테인먼트,워너브러더스 코리아(주)CJ ENM,2003-12-17,개봉영화,장편,미국,0,0,5960000,0,1905567,판타지,12세관람가,일반영화
86,인셉션,크리스토퍼 놀란,워너 브러더스 픽쳐스레젼데리 픽쳐스,(주)엔케이컨텐츠워너브러더스 코리아(주),(주)디스테이션워너브러더스 코리아(주),2010-07-21,개봉영화,장편,미국,528,44106546302,5926948,15810485000,2026998,드라마,12세이상관람가,일반영화
87,레미제라블,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,개봉영화,장편,미국,696,43044999000,5911890,16482217500,2190090,드라마,12세이상관람가,일반영화
88,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-05-04,개봉영화,장편,미국,2691,62648728870,5884587,18021250750,1610656,액션,12세이상관람가,일반영화
89,쉬리,강제규,강제규필름,,,1999-02-13,개봉영화,장편,한국,0,0,5820000,0,2448399,액션,15세 미만인 자는 관람할 수 없는 등급,일반영화
90,캡틴 마블,애너 보든라이언 플렉,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-03-06,개봉영화,장편,미국,2100,51491272223,5801069,15433909683,1650932,액션,12세이상관람가,일반영화
91,미션 임파서블 3,J.J. 에이브럼스,파라마운트 픽쳐스크루즈/와그너 프로덕션,UIP코리아,UIP코리아,2006-05-03,개봉영화,장편,미국,0,0,5740789,0,1584202,액션,15세관람가,일반영화
92,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,개봉영화,장편,미국,1972,49770711037,5661128,12526470537,1342621,액션,12세이상관람가,일반영화
93,청년경찰,김주환,(주)무비락(주)도서관옆스튜디오베리굿스튜디오(주),,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,개봉영화,장편,한국,1102,44241099316,5636259,9885607016,1207318,액션,15세이상관람가,일반영화
94,가문의 위기(가문의 영광2),정용기,(주)태원엔터테인먼트,,(주)쇼박스,2005-09-07,개봉영화,장편,한국,0,0,5635266,0,1451468,코미디,15세관람가,일반영화
95,숨바꼭질,허정,(주)드림캡쳐,,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,개봉영화,장편,한국,779,39593038500,5602543,10079982000,1356936,스릴러,15세이상관람가,일반영화
96,덕혜옹주,허진호,(주)하이브미디어코프(주)영화사호필름 (주)디씨지플러스,,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,개봉영화,장편,한국,964,44344141109,5593551,10625578869,1304324,사극,12세이상관람가,일반영화
97,더 테러 라이브,김병우,(주)씨네이천,,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,개봉영화,장편,한국,743,39866712881,5583596,11349884881,1525130,범죄,15세이상관람가,일반영화
98,쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,개봉영화,장편,미국,1290,47800698826,5546792,13625824326,1502391,액션,12세이상관람가,일반영화
99,의형제,장훈,(주)쇼박스(주)다세포클럽루비콘픽쳐스㈜,,(주)쇼박스,2010-02-04,개봉영화,장편,한국,572,40800867602,5507106,12204373500,1563042,드라마,15세이상관람가,일반영화
100,감시자들,조의석김병서,영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2013-07-03,개봉영화,장편,한국,949,39298005179,5496547,11031549179,1477594,범죄,15세이상관람가,일반영화
101,2012,롤랜드 에머리히,센트로폴리스 엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11-12,개봉영화,장편,미국,789,39415166660,5462953,11671854500,1528658,SF,12세이상관람가,일반영화
102,앤트맨과 와스프,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04,개봉영화,장편,미국,1775,47465443185,5447826,13821594585,1503229,액션,12세이상관람가,일반영화
103,닥터 스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-10-26,개봉영화,장편,미국,1503,47482530396,5446379,15365072146,1657823,액션,12세이상관람가,일반영화
104,검은 사제들,장재현,영화사 집,,(주)씨제이이엔엠,2015-11-05,개봉영화,장편,한국,1088,42395347092,5440945,11618059792,1428491,미스터리,15세이상관람가,일반영화
105,안시성,김광식,(주)영화사수작(주)스튜디오앤뉴모티브픽쳐스(주),,(주)넥스트엔터테인먼트월드(NEW),2018-09-19,개봉영화,장편,한국,1540,46335334026,5440186,10028662426,1146191,사극,12세이상관람가,일반영화
106,블랙 팬서,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,개봉영화,장편,미국,1620,45883143457,5398994,13105688057,1468761,액션,12세이상관람가,일반영화
107,더 킹,한재림,(주)매그넘나인,,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,개봉영화,장편,한국,1310,43486078535,5316325,11144618435,1318493,범죄,15세이상관람가,일반영화
108,완득이,이한,(주)유비유필름어나더픽쳐스(주),,(주)씨제이이엔엠,2011-10-20,개봉영화,장편,한국,500,38530503500,5310510,11657798500,1525277,드라마,12세이상관람가,일반영화
109,트랜스포머: 사라진 시대,마이클 베이,,(주)씨제이이엔엠,(주)씨제이이엔엠,2014-06-25,개봉영화,장편,미국,1602,44012272845,5295801,11664376045,1323527,액션,12세이상관람가,일반영화
110,완벽한 타인,이재규,(주)필름몬스터드라마하우스(주),,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-31,개봉영화,장편,한국,1313,44356752474,5294119,11870044374,1373292,드라마,15세이상관람가,일반영화
111,살인의 추억,봉준호,(주)싸이더스,,CJ ENM,2003-04-25,개봉영화,장편,한국,0,N/A,5255376,N/A,1912715,스릴러,15세관람가,일반영화
112,조커,토드 필립스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-10-02,개봉영화,장편,미국,1418,45442252130,5255228,14704552340,1638904,액션,15세이상관람가,일반영화
113,월드 워 Z,마크 포스터,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,개봉영화,장편,미국,964,38555357000,5237525,12048296500,1562677,드라마,15세이상관람가,일반영화
114,반지의 제왕 : 두개의 탑,피터 잭슨,,워너브러더스 코리아(주)(주)태원엔터테인먼트㈜에스앤엠코리아,워너브러더스 코리아(주)(주)시네마서비스,2002-12-19,개봉영화,장편,미국,0,0,5183000,0,1787872,액션,12세관람가,일반영화
115,타워,김지훈,(주)씨제이이엔엠(주)더타워픽쳐스,,(주)씨제이이엔엠,2012-12-25,개봉영화,장편,한국,617,37654858000,5181014,9052298500,1186378,드라마,12세이상관람가,일반영화
116,말아톤,정윤철,시네라인투(주),,(주)쇼박스,2005-01-27,개봉영화,장편,한국,0,0,5148022,0,1552548,드라마,전체관람가,일반영화
117,미녀와 야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,개봉영화,장편,미국,1627,42130589579,5137993,13177630229,1531839,멜로/로맨스,전체관람가,일반영화
118,추격자,나홍진,(주)영화사비단길,,(주)쇼박스,2008-02-14,개봉영화,장편,한국,435,33943278500,5071619,11611882500,1662668,범죄,청소년관람불가,일반영화
119,독전,이해영,(주)용필름보야저필름,,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,개봉영화,장편,한국,1357,43484892913,5063620,10658158413,1201461,범죄,15세이상관람가,일반영화
120,쿵푸팬더 2,여인영,,(주)씨제이이엔엠,(주)씨제이이엔엠,2011-05-26,개봉영화,장편,미국,948,44298724500,5062722,14917759000,1575363,애니메이션,전체관람가,일반영화
121,아쿠아맨,제임스 완,,워너브러더스 코리아(주),워너브러더스 코리아(주),2018-12-19,개봉영화,장편,미국,1285,44113456704,5038134,11897439184,1294275,액션,12세이상관람가,일반영화
122,공작,윤종빈,(주)영화사 월광(주)사나이픽처스,,(주)씨제이이엔엠,2018-08-08,개봉영화,장편,한국,1317,42759410176,4971261,10296507676,1158151,드라마,12세이상관람가,일반영화
123,인사이드 아웃,피트 닥터,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-07-09,개봉영화,장편,미국,777,38015586936,4968687,12814825236,1594626,애니메이션,전체관람가,일반영화
124,캐리비안의 해적: 세상의 끝에서,고어 버빈스키,제리 브룩하이머 필름월트 디즈니 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-05-23,개봉영화,장편,미국,0,0,4966571,0,1481077,액션,12세이상관람가,일반영화
125,킹스맨: 골든 서클,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-09-27,개봉영화,장편,미국,1687,40987484736,4945484,12306638886,1419759,액션,청소년관람불가,일반영화
126,동갑내기 과외하기,김경형,코리아 엔터테인먼트,,CJ ENM,2003-02-07,개봉영화,장편,한국,0,N/A,4937573,N/A,1587975,코미디,12세관람가,일반영화
