감독,제작사,영화형태,국적,전국 스크린수,전국 관객수,장르,등급,영화구분,개봉월
15.653223736507236,14.920126999484303,장편,한국,606,6136928,액션,12세이상관람가,일반영화,12
14.966876546177133,13.423826424869404,장편,미국,1202,6126488,액션,15세이상관람가,일반영화,07
14.314945707534509,14.290025959854725,장편,미국,706,6125154,액션,청소년관람불가,일반영화,02
15.614487088110378,15.614487088110378,장편,한국,1013,6043458,드라마,12세이상관람가,일반영화,06
15.42859091614362,15.595020136042555,장편,미국,528,5926948,드라마,12세이상관람가,일반영화,07
13.62924352754339,15.240149906896237,장편,미국,2691,5884587,액션,12세이상관람가,일반영화,05
13.42468169830961,11.86849454481459,장편,미국,1972,5661128,액션,12세이상관람가,일반영화,06
12.665856272804707,15.544731282945175,장편,한국,1102,5636259,액션,15세이상관람가,일반영화,08
14.810278404069454,14.810278404069454,장편,한국,779,5602543,스릴러,15세이상관람가,일반영화,08
14.20920051374789,15.537125063730782,장편,한국,964,5593551,사극,12세이상관람가,일반영화,08
14.932302524865989,13.790309769870937,장편,한국,743,5583596,범죄,15세이상관람가,일반영화,07
15.193456556267712,13.464043830879294,장편,미국,1290,5546792,액션,12세이상관람가,일반영화,06
15.202425485646078,15.521549997872459,장편,한국,572,5507106,드라마,15세이상관람가,일반영화,02
15.519630816792906,14.920126999484303,장편,한국,949,5496547,범죄,15세이상관람가,일반영화,07
13.823342252696671,14.8675148698658,장편,미국,789,5462953,SF,12세이상관람가,일반영화,11
14.882571485821439,15.240149906896237,장편,미국,1775,5447826,액션,12세이상관람가,일반영화,07
15.099761394840652,14.920126999484303,장편,한국,1088,5440945,미스터리,15세이상관람가,일반영화,11
14.327882652242637,15.509323993241319,장편,한국,1540,5440186,사극,12세이상관람가,일반영화,09
15.347933810360999,15.486293021239003,장편,한국,1310,5316325,범죄,15세이상관람가,일반영화,01
14.599980915502114,15.48519862210963,장편,한국,500,5310510,드라마,12세이상관람가,일반영화,10
15.489476389363986,15.3755773781237,장편,미국,1602,5295801,액션,12세이상관람가,일반영화,06
15.322772005576077,15.48210732868267,장편,한국,1313,5294119,드라마,15세이상관람가,일반영화,10
13.187344148259736,15.471359807400686,장편,미국,964,5237525,드라마,15세이상관람가,일반영화,06
14.405086633534141,15.460511540986712,장편,한국,617,5181014,드라마,12세이상관람가,일반영화,12
15.257366385582197,13.86487730616099,장편,한국,435,5071619,범죄,청소년관람불가,일반영화,02
13.133502174873518,15.437592397983229,장편,한국,1357,5063620,범죄,15세이상관람가,일반영화,05
15.437415038809503,13.916201249370442,장편,미국,948,5062722,애니메이션,전체관람가,일반영화,05
14.915151916067483,15.4222413521652,장편,한국,1317,4971261,드라마,12세이상관람가,일반영화,08
14.314945707534509,14.290025959854725,장편,미국,1687,4945484,액션,청소년관람불가,일반영화,09
14.384402758628067,15.404246046406538,장편,한국,694,4897551,코미디,12세이상관람가,일반영화,08
13.93932352922073,15.240149906896237,장편,미국,1640,4857152,액션,12세이상관람가,일반영화,10
15.384408935982508,15.384408935982508,장편,한국,206,4801355,다큐멘터리,전체관람가,독립/예술영화,11
15.083870632898496,14.984926655240894,장편,한국,611,4786259,코미디,12세이상관람가,일반영화,01
14.99345181697798,15.37984691493968,장편,한국,1476,4779501,사극,15세이상관람가,일반영화,08
14.915151916067483,15.378882751555066,장편,한국,1394,4774895,사극,15세이상관람가,일반영화,07
14.677490413230421,13.775910235865101,장편,한국,1659,4750104,드라마,15세이상관람가,일반영화,01
13.769066972425849,13.774938706163994,장편,미국,1936,4743184,어드벤처,전체관람가,일반영화,07
14.915151916067483,15.365295064299232,장편,한국,699,4710454,범죄,청소년관람불가,일반영화,02
15.36376346659728,13.774938706163994,장편,미국,661,4703245,애니메이션,전체관람가,일반영화,02
14.06463883950566,15.35934121837134,장편,한국,671,4682492,범죄,청소년관람불가,일반영화,02
15.357313961633194,13.916201249370442,장편,미국,351,4673009,애니메이션,전체관람가,일반영화,06
15.495762679226203,14.858283186680884,장편,한국,644,4662822,드라마,청소년관람불가,일반영화,09
13.197778015516946,15.341258987984192,장편,한국,563,4598583,코미디,15세이상관람가,일반영화,05
14.497940452567345,15.335877446518833,장편,한국,1511,4573902,범죄,15세이상관람가,일반영화,09
15.328876251257636,15.335273841007433,장편,한국,1166,4571142,드라마,12세이상관람가,일반영화,12
15.334781282708585,15.334781282708585,장편,미국,704,4568891,SF,15세이상관람가,일반영화,05
15.328876251257636,13.655017267825396,장편,한국,759,4513026,공포(호러),15세이상관람가,일반영화,07
13.769066972425849,15.31921810857811,장편,미국,757,4498335,SF,12세이상관람가,일반영화,04
13.942157556011079,15.308715058454732,장편,한국,1426,4451336,액션,15세이상관람가,일반영화,12
12.9328411964548,13.775910235865101,장편,한국,1998,4352669,범죄,15세이상관람가,일반영화,08
15.28569329959281,15.28569329959281,장편,한국,1625,4350029,액션,15세이상관람가,일반영화,08
14.585960041140725,13.673920750440725,장편,미국,1056,4313871,액션,12세이상관람가,일반영화,05
14.584228252532583,14.406672707002011,장편,한국,659,4300670,드라마,15세이상관람가,일반영화,06
14.781866174368112,15.268779221296953,장편,한국,1171,4277071,스릴러,청소년관람불가,일반영화,06
12.508977090274309,14.755566448860673,장편,미국,1312,4168350,액션,12세이상관람가,일반영화,04
14.99345181697798,15.234090340524615,장편,한국,807,4131248,액션,15세이상관람가,일반영화,12
13.508430587418099,13.1379893570447,장편,한국,593,4110645,멜로/로맨스,12세이상관람가,일반영화,03
14.66848531980682,15.223762086436206,장편,한국,475,4088799,코미디,12세이상관람가,일반영화,04
15.42859091614362,15.22340886420928,장편,미국,462,4087355,범죄,15세이상관람가,일반영화,08
15.702917860888409,15.263749532761022,장편,한국,534,4057546,코미디,12세이상관람가,일반영화,01
13.580793337325714,15.212889012925707,장편,한국,418,4044582,드라마,전체관람가,일반영화,01
15.206379937708391,13.115073398406876,장편,한국,1314,4018341,범죄,15세이상관람가,일반영화,11
15.284012587354992,13.149528036786908,장편,한국,890,4001813,드라마,청소년관람불가,일반영화,09
15.198000943132998,13.916201249370442,장편,미국,1365,3984812,애니메이션,전체관람가,일반영화,01
15.19256763645168,15.240149906896237,장편,미국,1106,3963220,액션,15세이상관람가,일반영화,03
