영화명,감독,제작사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
맨데이트: 신이 주신 임무,박희준,메가픽쳐스제이씨(주),2008-10-30,장편,한국,84,78616000.0,12087,18421000.0,2648,스릴러,청소년관람불가,일반영화
성덕,오세연,해랑사,2022-09-28,장편,한국,60,105907892.0,12078,77074693.0,8452,다큐멘터리,12세이상관람가,독립/예술영화
쿵푸 요가,당계례,,2017-03-29,장편,중국,108,91563500.0,12048,34534000.0,4403,액션,12세이상관람가,독립/예술영화
낫아웃,이정곤,이안필름(주)키즈리턴,2021-06-03,장편,한국,203,91294980.0,12045,52982670.0,7428,드라마,15세이상관람가,독립/예술영화
랜드 오브 마인,마틴 잔드블리엣,노르디스크 필름,2017-04-06,장편,기타,97,89516900.0,12026,38545500.0,4900,드라마,15세이상관람가,독립/예술영화
바이올렛 에버가든 ? 영원과 자동 수기 인형 -,후지타 하루카,,2020-03-26,장편,일본,62,104091460.0,11934,43978500.0,4790,애니메이션,전체관람가,독립/예술영화
리틀 맨하탄,마크 레빈,,2018-06-27,장편,미국,139,96947500.0,11909,43690300.0,5235,멜로/로맨스,전체관람가,일반영화
엘프,우테 폰 뮌쇼폴,,2021-02-10,장편,독일,228,100001300.0,11906,36326410.0,4325,애니메이션,전체관람가,일반영화
마티아스와 막심,자비에 돌란,텔레필름 캐나다,2020-07-23,장편,기타,91,106464420.0,11896,82123420.0,8651,드라마,15세이상관람가,독립/예술영화
라스트 레터,이와이 슌지,,2021-02-24,장편,일본,160,99599650.0,11889,58260760.0,6840,멜로/로맨스,전체관람가,독립/예술영화
내 친구 정일우,김동원,푸른영상,2017-10-26,장편,한국,80,75659600.0,11887,35312300.0,4823,다큐멘터리,전체관람가,독립/예술영화
케이크메이커,오피르 라울 그라이저,,2018-05-24,장편,독일,65,96832400.0,11876,62257600.0,7108,드라마,15세이상관람가,독립/예술영화
나이트 헌터,릭 제이콥슨,,2020-01-29,장편,기타,141,74513100.0,11849,22878980.0,3488,액션,15세이상관람가,일반영화
피쉬와 칩스 극장판,댄 크레치,,2014-03-06,장편,기타,158,80252400.0,11802,19836500.0,2698,애니메이션,전체관람가,독립/예술영화
현기증,이돈구,(주)한이야기,2014-11-06,장편,한국,71,79449300.0,11785,29815300.0,4273,가족,청소년관람불가,독립/예술영화
부릉! 부릉! 브루미즈: 스피더의 모험 일기,이영준,(주)삼지애니메이션,2016-12-15,장편,한국,194,89425500.0,11735,25294700.0,3349,애니메이션,전체관람가,독립/예술영화
하늘의 푸르름을 아는 사람이여,나가이 타츠유키,CloverWorks,2022-03-16,장편,일본,121,104358500.0,11688,40768100.0,4636,애니메이션,12세이상관람가,독립/예술영화
장민호 드라마 최종회,,씨제이 씨지브이(CJ CGV)(주)CGV ICECON,2022-01-24,장편,한국,81,223662200.0,11687,87142100.0,4599,공연,전체관람가,일반영화
출동! 도토리 구조대,로스 베노커,,2019-03-28,장편,미국,260,86682260.0,11676,21038400.0,2525,애니메이션,전체관람가,독립/예술영화
썸니아,마이크 플래너건,렐러티비티 미디어,2016-05-25,장편,미국,200,92785045.0,11662,28921045.0,3433,판타지,15세이상관람가,독립/예술영화
검은손,박재식,골든타이드픽처스(주),2015-04-16,장편,한국,178,89815665.0,11650,19052465.0,2326,공포(호러),청소년관람불가,일반영화
러브 어게인,핼리 메이어스-샤이어,,2017-11-16,장편,미국,177,89873800.0,11628,43222000.0,5456,드라마,12세이상관람가,독립/예술영화
피그,헨리 배리얼,,2022-02-23,장편,미국,113,106769970.0,11625,66802570.0,6790,드라마,12세이상관람가,독립/예술영화
트립 투 스페인,마이클 윈터바텀,,2018-05-17,장편,영국,60,91615317.0,11596,56662317.0,6880,코미디,15세이상관람가,독립/예술영화
나는보리,김진유,파도,2020-05-21,장편,한국,158,83320360.0,11579,47516440.0,6321,가족,전체관람가,독립/예술영화
디시에르토,조나스 쿠아론,,2016-10-05,장편,기타,119,86697500.0,11568,26742500.0,3545,드라마,15세이상관람가,독립/예술영화
그레텔과 헨젤,오즈 퍼킨스,,2020-07-08,장편,기타,325,101464540.0,11564,26507720.0,2936,판타지,15세이상관람가,일반영화
주키퍼스 와이프,니키 카로,,2017-10-12,장편,미국,100,88265946.0,11557,45397446.0,5722,드라마,12세이상관람가,독립/예술영화
핫 썸머 나이츠,엘리야 바이넘,A24,2018-10-18,장편,미국,173,104536350.0,11526,62955150.0,6597,드라마,15세이상관람가,독립/예술영화
더 게스트,미겔 앙헬 비바스,,2018-09-12,장편,스페인,228,101103647.0,11517,32138997.0,3615,공포(호러),청소년관람불가,독립/예술영화
멜리스,김용운,(주)라임오렌지팩토리,2016-02-11,장편,한국,141,90914800.0,11484,19830000.0,2343,공포(호러),15세이상관람가,독립/예술영화
슈퍼히어로,에두와르도 슐츠,,2013-07-31,장편,기타,74,73535000.0,11469,25202500.0,3799,애니메이션,전체관람가,일반영화
실종,가타야마 신조,,2022-06-15,장편,일본,67,105365000.0,11451,65188900.0,7257,스릴러,청소년관람불가,독립/예술영화
오 루시!,히라야나기 아츠코,,2018-06-28,장편,미국,114,89905400.0,11424,72891400.0,9150,멜로/로맨스,15세이상관람가,독립/예술영화
토르: 마법 검의 전설,에릭 케이즈스,,2022-05-04,장편,독일,201,89251300.0,11423,25634300.0,3827,애니메이션,전체관람가,일반영화
타이치0 3D,풍덕륜,,2013-07-04,장편,홍콩,116,76315000.0,11414,26837500.0,3904,코미디,12세이상관람가,일반영화
걸후드,셀린 시아마,카날플뤼스,2020-11-12,장편,프랑스,175,98925000.0,11409,52746500.0,6282,드라마,12세이상관람가,독립/예술영화
살인마 잭의 집,라스 폰 트리에,젠트로파,2019-02-21,장편,기타,68,102246547.0,11393,74410287.0,8176,드라마,청소년관람불가,독립/예술영화
더 컨트랙터,타릭 살레,,2022-04-28,장편,미국,161,90330780.0,11365,45063180.0,6438,액션,15세이상관람가,일반영화
출동! 소방관 샘: 외계인 대소동,개리 앤드류스,,2018-11-08,장편,영국,152,81998500.0,11364,15886550.0,1810,애니메이션,전체관람가,일반영화
수상한 이웃,이상훈,(주)오예스,2019-10-09,장편,한국,182,63401140.0,11341,12397380.0,1520,코미디,12세이상관람가,독립/예술영화
키즈모노가타리 III : 냉혈편,신보 아키유키,,2017-05-18,장편,일본,81,88623000.0,11302,39548000.0,4732,애니메이션,15세이상관람가,일반영화
좋은 사람,정욱,한국영화아카데미,2021-09-09,장편,한국,140,86268420.0,11297,46767880.0,6205,미스터리,12세이상관람가,독립/예술영화
팬텀: 더 뮤지컬 라이브,박재석,(주)위즈온센,2021-12-01,장편,한국,118,191806980.0,11293,83769460.0,4773,뮤지컬,12세이상관람가,일반영화
스피릿,일래인 보겐,,2021-09-15,장편,미국,138,82733300.0,11236,32795800.0,5141,애니메이션,전체관람가,일반영화
라스트 풀 메저,토드 로빈슨,SSS 엔터테인먼트,2020-05-20,장편,미국,333,88807180.0,11223,27852360.0,3532,드라마,15세이상관람가,독립/예술영화
나루토 질풍전 극장판 4 - 더 로스트 타워,무라타 마사히코,,2010-12-02,장편,일본,60,75809236.0,11221,21643500.0,3131,애니메이션,전체관람가,일반영화
공동정범,김일란이혁상,연분홍치마,2018-01-25,장편,한국,73,82372300.0,11198,55193100.0,7291,다큐멘터리,15세이상관람가,독립/예술영화
극장판 메이저 : 우정의 강속구,카토 타카오,,2011-10-20,장편,일본,105,70124000.0,11162,18394000.0,2688,애니메이션,전체관람가,일반영화
닐스의 모험,오시이 마모루,,2014-02-27,장편,일본,107,77024900.0,11161,21535700.0,3099,애니메이션,전체관람가,독립/예술영화
익스트림 No.13,겔라 바블루아니,,2012-10-03,장편,미국,108,80120516.0,11130,25428016.0,3339,스릴러,청소년관람불가,일반영화
스파이의 아내,구로사와 기요시,NHK,2021-03-25,장편,일본,120,97795830.0,11118,67765540.0,7341,드라마,12세이상관람가,독립/예술영화
