영화명,감독,제작사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
명량,김한민,(주)빅스톤픽쳐스,2014-07-30,장편,한국,1587,135748398910.0,17613682,33121225810.0,4163666,사극,15세이상관람가,일반영화
극한직업,이병헌,(주)어바웃잇영화사 해그림 주식회사(주)씨제이이엔엠,2019-01-23,장편,한국,1978,139647979516.0,16264944,31858660536.0,3638287,코미디,15세이상관람가,일반영화
신과함께-죄와 벌,김용화,리얼라이즈픽쳐스(주)(주)덱스터스튜디오,2017-12-20,장편,한국,1912,115698654137.0,14410754,27530825087.0,3346172,판타지,12세이상관람가,일반영화
국제시장,윤제균,(주)제이케이필름(주)씨제이이엔엠,2014-12-17,장편,한국,966,110828014630.0,14245998,25842519330.0,3233946,드라마,12세이상관람가,일반영화
어벤져스: 엔드게임,안소니 루소조 루소,마블 스튜디오,2019-04-24,장편,미국,2835,122182694160.0,13934592,33577136860.0,3597963,액션,12세이상관람가,일반영화
겨울왕국 2,크리스 벅제니퍼 리,월트 디즈니 픽처스,2019-11-21,장편,미국,2648,114810421450.0,13747792,28824682580.0,3225974,애니메이션,전체관람가,일반영화
아바타,제임스 카메론,이십세기폭스필름코퍼레이션,2009-12-17,장편,미국,912,128447097523.0,13624328,40547523000.0,3993374,SF,12세이상관람가,독립/예술영화
베테랑,류승완,(주)외유내강(주)필름케이,2015-08-05,장편,한국,1064,105024756250.0,13395400,26766369950.0,3290366,액션,15세이상관람가,일반영화
도둑들,최동훈,(주)케이퍼필름,2012-07-25,장편,한국,1072,93665568500.0,12983330,26089426500.0,3468906,액션,15세이상관람가,일반영화
7번방의 선물,이환경,(주)화인웍스(주)씨엘엔터테인먼트,2013-01-23,장편,한국,787,91431914670.0,12811206,22800931670.0,3070053,코미디,15세이상관람가,일반영화
암살,최동훈,(주)케이퍼필름,2015-07-22,장편,한국,1519,98463132781.0,12705700,25306651181.0,3155960,액션,15세이상관람가,일반영화
범죄도시2,이상용,주식회사 빅펀치픽쳐스(주)홍필름(주)비에이엔터테인먼트,2022-05-18,장편,한국,2498,131293353478.0,12692959,29072759869.0,2755760,범죄,15세이상관람가,일반영화
알라딘,가이 리치,,2019-05-23,장편,미국,1311,106983620359.0,12555894,30218911039.0,3377404,어드벤처,전체관람가,일반영화
광해 왕이 된 남자,추창민,리얼라이즈픽쳐스(주)(주)씨제이이엔엠,2012-09-13,장편,한국,810,88900208769.0,12319542,25192804727.0,3355700,사극,15세이상관람가,일반영화
신과함께-인과 연,김용화,리얼라이즈픽쳐스(주)(주)덱스터스튜디오,2018-08-01,장편,한국,2235,102476768809.0,12253247,22905551759.0,2636542,판타지,12세이상관람가,일반영화
택시운전사,장훈,더램프(주),2017-08-02,장편,한국,1906,95284747049.0,12099971,22186916199.0,2729932,드라마,15세이상관람가,일반영화
부산행,연상호,(주)영화사레드피터,2016-07-20,장편,한국,1788,93175877048.0,11565078,23020827248.0,2754686,액션,15세이상관람가,일반영화
해운대,윤제균,(주)제이케이필름,2009-07-22,장편,한국,753,81934638201.0,11453338,21141403500.0,2791508,액션,12세이상관람가,일반영화
변호인,양우석,위더스필름(주),2013-12-18,장편,한국,923,82856578300.0,11372451,22571929000.0,2978688,드라마,15세이상관람가,일반영화
어벤져스: 인피니티 워,안소니 루소조 루소,마블 스튜디오,2018-04-25,장편,미국,2553,99919006769.0,11211880,28631269069.0,3008819,액션,12세이상관람가,일반영화
아바타: 물의 길,제임스 카메론,라이트스톰 엔터테인먼트,2022-12-14,장편,미국,2809,137587341964.0,10801074,35452010003.0,2621620,액션,12세이상관람가,일반영화
어벤져스: 에이지 오브 울트론,조스 웨던,마블 스튜디오,2015-04-23,장편,미국,1843,88582586366.0,10494499,25001906266.0,2823388,액션,12세이상관람가,일반영화
기생충,봉준호,(주)바른손이앤에이,2019-05-30,장편,한국,1948,87459829095.0,10313086,24128560195.0,2790209,드라마,15세이상관람가,일반영화
겨울왕국,크리스 벅제니퍼 리,월트 디즈니 픽처스,2014-01-16,장편,미국,1010,82461504400.0,10296101,25847243500.0,3003446,애니메이션,전체관람가,일반영화
인터스텔라,크리스토퍼 놀란,레전더리 픽처스,2014-11-06,장편,미국,1342,82274331200.0,10273803,25500349600.0,3079036,SF,12세이상관람가,일반영화
보헤미안 랩소디,브라이언 싱어,,2018-10-31,장편,미국,936,86280975785.0,9948386,27849793695.0,3097336,드라마,12세이상관람가,일반영화
검사외전,이일형,(주)영화사 월광(주)사나이픽처스,2016-02-03,장편,한국,1812,77252755264.0,9699092,18302525664.0,2219587,범죄,15세이상관람가,일반영화
엑시트,이상근,(주)외유내강(주)필름케이,2019-07-31,장편,한국,1660,79232212162.0,9426051,18533549352.0,2132869,코미디,12세이상관람가,일반영화
관상,한재림,(주)주피터필름(주)쇼박스,2013-09-11,장편,한국,1190,66005451500.0,9134586,19311179000.0,2561744,사극,15세이상관람가,일반영화
아이언맨 3,쉐인 블랙,파라마운트 픽쳐스,2013-04-25,장편,미국,1381,70806191000.0,9001309,21668935500.0,2595269,액션,12세이상관람가,일반영화
설국열차,봉준호,모호필름오퍼스픽쳐스(유),2013-08-01,장편,한국,1128,64016480000.0,8914845,18975866000.0,2550437,SF,15세이상관람가,일반영화
캡틴 아메리카: 시빌 워,안소니 루소조 루소,마블 스튜디오,2016-04-27,장편,미국,1991,72672111827.0,8677249,21248121149.0,2400069,액션,12세이상관람가,일반영화
수상한 그녀,황동혁,(주)예인플러스엔터테인먼트아이앤코스모스(주)시네와이즈필름,2014-01-22,장편,한국,692,62696639249.0,8656397,15358810049.0,2042110,드라마,15세이상관람가,일반영화
해적: 바다로 간 산적,이석훈,(주)하리마오픽쳐스,2014-08-06,장편,한국,838,66240631706.0,8646758,14906345006.0,1868694,어드벤처,12세이상관람가,일반영화
국가대표,김용화,케이엠컬쳐㈜,2009-07-29,장편,한국,580,60896633308.0,8487894,16782332500.0,2213346,드라마,12세이상관람가,일반영화
백두산,이해준김병서,주식회사 덱스터 픽쳐스(주)퍼펙트스톰필름(주)씨제이이엔엠,2019-12-19,장편,한국,1971,69825366300.0,8252669,15055877210.0,1724785,어드벤처,12세이상관람가,일반영화
과속스캔들,강형철,(주)토일렛픽쳐스(주)디씨지플러스,2008-12-03,장편,한국,405,53940101534.0,8245523,16515292833.0,2390408,코미디,12세이상관람가,일반영화
탑건: 매버릭,조셉 코신스키,스카이댄스 미디어,2022-06-22,장편,미국,1975,87855360975.0,8177446,25925045991.0,2309600,액션,12세이상관람가,일반영화
스파이더맨: 파 프롬 홈,존 왓츠,컬럼비아 픽처스,2019-07-02,장편,미국,2142,69000711100.0,8020208,18515112400.0,2051196,액션,12세이상관람가,일반영화
공조,김성훈,(주)제이케이필름(주)씨제이이엔엠(주)영화사 이창(주)에이치비엔터테인먼트,2017-01-18,장편,한국,976,63781731326.0,7817446,14672808676.0,1744624,액션,15세이상관람가,일반영화
트랜스포머 3,마이클 베이,해즈브로 스튜디오,2011-06-29,장편,미국,1409,74841350500.0,7784807,21746223000.0,2143018,액션,12세이상관람가,일반영화
히말라야,이석훈,(주)제이케이필름,2015-12-16,장편,한국,1009,60173583015.0,7759473,13920553930.0,1738016,드라마,12세이상관람가,일반영화
미션임파서블:고스트프로토콜,브래드 버드,파라마운트 픽쳐스,2011-12-15,장편,미국,1038,57795846000.0,7575899,18719283500.0,2347164,액션,15세이상관람가,일반영화
스파이더맨: 노 웨이 홈,존 왓츠,컬럼비아 픽처스,2021-12-15,장편,미국,2948,75193912210.0,7551990,21054819760.0,2041418,액션,12세이상관람가,일반영화
트랜스포머: 패자의 역습,마이클 베이,드림웍스 SKG파라마운트 픽쳐스,2009-06-24,장편,미국,1129,51478531663.0,7505700,16083028500.0,2200557,SF,12세이상관람가,일반영화
밀정,김지운,(주)다크서클픽쳐스워너브러더스 코리아(주)(주)영화사하얼빈,2016-09-07,장편,한국,1444,61158644831.0,7487545,15436298021.0,1827424,액션,15세이상관람가,일반영화
최종병기 활,김한민,(주)디씨지플러스(주)다세포클럽,2011-08-10,장편,한국,615,55808856500.0,7466976,16139541000.0,2059847,사극,15세이상관람가,일반영화
써니,강형철,(주)알로하픽쳐스(주)토일렛픽쳐스,2011-05-04,장편,한국,472,53773170600.0,7328820,15401904600.0,2004824,드라마,15세이상관람가,일반영화
한산: 용의 출현,김한민,(주)빅스톤픽쳐스,2022-07-27,장편,한국,2223,73700628377.0,7264934,15974849913.0,1513672,액션,12세이상관람가,일반영화
스파이더맨: 홈 커밍,존 왓츠,컬럼비아 픽처스,2017-07-05,장편,미국,1965,59120173820.0,7257973,16753103620.0,1969107,액션,12세이상관람가,일반영화
1987,장준환,(주)우정필름,2017-12-27,장편,한국,1299,58165581145.0,7231638,14638920495.0,1776877,드라마,15세이상관람가,일반영화
베를린,류승완,(주)외유내강(주)씨제이이엔엠,2013-01-30,장편,한국,894,52354931637.0,7166199,16070379637.0,2118794,액션,15세이상관람가,일반영화
마스터,조의석,영화사 집,2016-12-21,장편,한국,1501,58067927865.0,7150541,14520299965.0,1731940,액션,15세이상관람가,일반영화
터널,김성훈,(주)어나더썬데이(주)비에이엔터테인먼트,2016-08-10,장편,한국,1105,57510324417.0,7118592,14121558017.0,1675010,드라마,12세이상관람가,일반영화
어벤져스,조스 웨던,,2012-04-26,장편,미국,967,59557853478.0,7074867,19280107897.0,2147619,액션,12세이상관람가,일반영화
내부자들,우민호,(유)내부자들 문화전문회사,2015-11-19,장편,한국,1075,56596582057.0,7071763,16340245357.0,1972885,범죄,청소년관람불가,일반영화
인천상륙작전,이재한,(주)태원엔터테인먼트,2016-07-27,장편,한국,1049,55101410303.0,7049643,11459996563.0,1427944,전쟁,12세이상관람가,일반영화
공조2: 인터내셔날,이석훈,(주)제이케이필름(주)씨제이이엔엠,2022-09-07,장편,한국,2389,70884583586.0,6979319,15028120901.0,1444987,액션,15세이상관람가,일반영화
럭키,이계벽,(주)용필름,2016-10-13,장편,한국,1158,56361435256.0,6965706,13812629836.0,1640015,코미디,15세이상관람가,일반영화
은밀하게 위대하게,장철수,(주)엠씨엠씨,2013-06-05,장편,한국,1341,48663939413.0,6953800,12415574413.0,1691014,액션,15세이상관람가,일반영화
곡성,나홍진,(주)사이드미러이십세기폭스 인터내셔널 프로덕션,2016-05-12,장편,한국,1485,55853108382.0,6878264,15445041342.0,1829923,미스터리,15세이상관람가,일반영화
범죄도시,강윤성,(주)홍필름(주)비에이엔터테인먼트,2017-10-03,장편,한국,1315,56077813249.0,6851297,14046905449.0,1670254,범죄,청소년관람불가,일반영화
좋은 놈 나쁜 놈 이상한 놈,김지운,(주)다크서클픽쳐스(주)바른손이앤에이,2008-07-17,장편,한국,825,43768628939.0,6686912,13860913000.0,2012173,서부극(웨스턴),15세이상관람가,일반영화
늑대소년,조성희,(주)영화사비단길,2012-10-31,장편,한국,706,46593107500.0,6654837,12336313500.0,1677173,멜로/로맨스,15세이상관람가,일반영화
군함도,류승완,(주)외유내강(주)필름케이,2017-07-26,장편,한국,2027,50510565168.0,6592151,11091878868.0,1398649,액션,15세이상관람가,일반영화
미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,파라마운트 픽쳐스,2018-07-25,장편,미국,1957,55888375112.0,6584915,14891043562.0,1686255,액션,15세이상관람가,일반영화
다크 나이트 라이즈,크리스토퍼 놀란,레전더리 픽처스,2012-07-19,장편,미국,1210,47644838000.0,6396528,16258149500.0,2057529,액션,15세이상관람가,일반영화
아저씨,이정범,오퍼스픽쳐스(유),2010-08-04,장편,한국,478,47870792359.0,6282774,14820865000.0,1863328,액션,청소년관람불가,일반영화
사도,이준익,(주)타이거픽쳐스,2015-09-16,장편,한국,1210,48842902501.0,6246849,12987928301.0,1606486,사극,12세이상관람가,일반영화
전우치,최동훈,영화사 집,2009-12-23,장편,한국,606,44605437017.0,6136928,12917834500.0,1684123,액션,12세이상관람가,일반영화
미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,배드 로봇 프로덕션스,2015-07-30,장편,미국,1202,48547353607.0,6126488,13751315607.0,1669524,액션,15세이상관람가,일반영화
킹스맨 : 시크릿 에이전트,매튜 본,마브 필름스,2015-02-11,장편,미국,706,50333635795.0,6125154,16707645195.0,1968882,액션,청소년관람불가,일반영화
연평해전,김학순,(주)로제타시네마,2015-06-24,장편,한국,1013,45560620330.0,6043458,9906059630.0,1265879,드라마,12세이상관람가,일반영화
인셉션,크리스토퍼 놀란,워너 브러더스 픽쳐스레젼데리 픽쳐스,2010-07-21,장편,미국,528,44106546302.0,5926948,15810485000.0,2026998,드라마,12세이상관람가,일반영화
레미제라블,톰 후퍼,,2012-12-19,장편,미국,696,43044999000.0,5911890,16482217500.0,2190090,드라마,12세이상관람가,일반영화
닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,마블 스튜디오,2022-05-04,장편,미국,2691,62648728870.0,5884587,18021250750.0,1610656,액션,12세이상관람가,일반영화
캡틴 마블,애너 보든라이언 플렉,,2019-03-06,장편,미국,2100,51491272223.0,5801069,15433909683.0,1650932,액션,12세이상관람가,일반영화
쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,유니버설 픽처스,2018-06-06,장편,미국,1972,49770711037.0,5661128,12526470537.0,1342621,액션,12세이상관람가,일반영화
청년경찰,김주환,(주)무비락(주)도서관옆스튜디오베리굿스튜디오(주),2017-08-09,장편,한국,1102,44241099316.0,5636259,9885607016.0,1207318,액션,15세이상관람가,일반영화
숨바꼭질,허정,(주)드림캡쳐,2013-08-14,장편,한국,779,39593038500.0,5602543,10079982000.0,1356936,스릴러,15세이상관람가,일반영화
덕혜옹주,허진호,(주)하이브미디어코프(주)영화사호필름 (주)디씨지플러스,2016-08-03,장편,한국,964,44344141109.0,5593551,10625578869.0,1304324,사극,12세이상관람가,일반영화
더 테러 라이브,김병우,(주)씨네이천,2013-07-31,장편,한국,743,39866712881.0,5583596,11349884881.0,1525130,범죄,15세이상관람가,일반영화
쥬라기 월드,콜린 트레보로우,레전더리 픽처스,2015-06-11,장편,미국,1290,47800698826.0,5546792,13625824326.0,1502391,액션,12세이상관람가,일반영화
의형제,장훈,(주)쇼박스(주)다세포클럽루비콘픽쳐스㈜,2010-02-04,장편,한국,572,40800867602.0,5507106,12204373500.0,1563042,드라마,15세이상관람가,일반영화
감시자들,조의석김병서,영화사 집,2013-07-03,장편,한국,949,39298005179.0,5496547,11031549179.0,1477594,범죄,15세이상관람가,일반영화
2012,롤랜드 에머리히,센트로폴리스 엔터테인먼트,2009-11-12,장편,미국,789,39415166660.0,5462953,11671854500.0,1528658,SF,12세이상관람가,일반영화
앤트맨과 와스프,페이튼 리드,마블 스튜디오,2018-07-04,장편,미국,1775,47465443185.0,5447826,13821594585.0,1503229,액션,12세이상관람가,일반영화
닥터 스트레인지,스콧 데릭슨,,2016-10-26,장편,미국,1503,47482530396.0,5446379,15365072146.0,1657823,액션,12세이상관람가,일반영화
검은 사제들,장재현,영화사 집,2015-11-05,장편,한국,1088,42395347092.0,5440945,11618059792.0,1428491,미스터리,15세이상관람가,일반영화
안시성,김광식,(주)영화사수작(주)스튜디오앤뉴모티브픽쳐스(주),2018-09-19,장편,한국,1540,46335334026.0,5440186,10028662426.0,1146191,사극,12세이상관람가,일반영화
블랙 팬서,라이언 쿠글러,,2018-02-14,장편,미국,1620,45883143457.0,5398994,13105688057.0,1468761,액션,12세이상관람가,일반영화
더 킹,한재림,(주)매그넘나인,2017-01-18,장편,한국,1310,43486078535.0,5316325,11144618435.0,1318493,범죄,15세이상관람가,일반영화
완득이,이한,(주)유비유필름어나더픽쳐스(주),2011-10-20,장편,한국,500,38530503500.0,5310510,11657798500.0,1525277,드라마,12세이상관람가,일반영화
트랜스포머: 사라진 시대,마이클 베이,해즈브로 스튜디오,2014-06-25,장편,미국,1602,44012272845.0,5295801,11664376045.0,1323527,액션,12세이상관람가,일반영화
완벽한 타인,이재규,(주)필름몬스터드라마하우스(주),2018-10-31,장편,한국,1313,44356752474.0,5294119,11870044374.0,1373292,드라마,15세이상관람가,일반영화
조커,토드 필립스,,2019-10-02,장편,미국,1418,45442252130.0,5255228,14704552340.0,1638904,액션,15세이상관람가,일반영화
월드 워 Z,마크 포스터,플랜 비 엔터테인먼트,2013-06-20,장편,미국,964,38555357000.0,5237525,12048296500.0,1562677,드라마,15세이상관람가,일반영화
타워,김지훈,(주)씨제이이엔엠(주)더타워픽쳐스,2012-12-25,장편,한국,617,37654858000.0,5181014,9052298500.0,1186378,드라마,12세이상관람가,일반영화
미녀와 야수,빌 콘돈,,2017-03-16,장편,미국,1627,42130589579.0,5137993,13177630229.0,1531839,멜로/로맨스,전체관람가,일반영화
추격자,나홍진,(주)영화사비단길,2008-02-14,장편,한국,435,33943278500.0,5071619,11611882500.0,1662668,범죄,청소년관람불가,일반영화
독전,이해영,(주)용필름보야저필름,2018-05-22,장편,한국,1357,43484892913.0,5063620,10658158413.0,1201461,범죄,15세이상관람가,일반영화
쿵푸팬더 2,여인영,드림웍스 애니메이션,2011-05-26,장편,미국,948,44298724500.0,5062722,14917759000.0,1575363,애니메이션,전체관람가,일반영화
아쿠아맨,제임스 완,,2018-12-19,장편,미국,1285,44113456704.0,5038134,11897439184.0,1294275,액션,12세이상관람가,일반영화
공작,윤종빈,(주)영화사 월광(주)사나이픽처스,2018-08-08,장편,한국,1317,42759410176.0,4971261,10296507676.0,1158151,드라마,12세이상관람가,일반영화
인사이드 아웃,피트 닥터,,2015-07-09,장편,미국,777,38015586936.0,4968687,12814825236.0,1594626,애니메이션,전체관람가,일반영화
킹스맨: 골든 서클,매튜 본,마브 필름스,2017-09-27,장편,미국,1687,40987484736.0,4945484,12306638886.0,1419759,액션,청소년관람불가,일반영화
바람과 함께 사라지다,김주호,(주)두타연(주)에이디사공육,2012-08-08,장편,한국,694,34524377161.0,4897551,8302901161.0,1122802,코미디,12세이상관람가,일반영화
마션,리들리 스콧,,2015-10-08,장편,미국,1132,39612764295.0,4875494,12914889095.0,1509471,액션,12세이상관람가,일반영화
토르: 라그나로크,타이카 와이티티,마블 스튜디오,2017-10-25,장편,미국,1640,39248432595.0,4857152,12088848195.0,1419464,액션,12세이상관람가,일반영화
어메이징 스파이더맨,마크 웹,,2012-06-28,장편,미국,1118,41163951235.0,4853123,13100185524.0,1446116,액션,12세이상관람가,일반영화
님아 그 강을 건너지 마오,진모영,아거스필름,2014-11-27,장편,한국,206,37354452679.0,4801355,9129018879.0,1140795,다큐멘터리,전체관람가,독립/예술영화
조선명탐정 : 각시투구꽃의 비밀,김석윤,청년필름(주),2011-01-27,장편,한국,611,35841769500.0,4786259,10712744000.0,1363857,코미디,12세이상관람가,일반영화
봉오동 전투,원신연,(주)빅스톤픽쳐스(주)더블유픽처스(주)쇼박스,2019-08-07,장편,한국,1476,40514276538.0,4779501,7782799628.0,891383,사극,15세이상관람가,일반영화
군도: 민란의 시대,윤종빈,(주)영화사 월광(주)쇼박스,2014-07-23,장편,한국,1394,36987755999.0,4774895,9976707399.0,1239945,사극,15세이상관람가,일반영화
남산의 부장들,우민호,(주)하이브미디어코프,2020-01-22,장편,한국,1659,41223596650.0,4750104,9851448590.0,1113402,드라마,15세이상관람가,일반영화
라이온 킹,존 파브로,월트 디즈니 픽처스,2019-07-17,장편,미국,1936,41518977430.0,4743184,11620751790.0,1218042,어드벤처,전체관람가,일반영화
범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,(주)팔레트픽처스(주)쇼박스,2012-02-02,장편,한국,699,36479147500.0,4710454,11716858500.0,1451900,범죄,청소년관람불가,일반영화
주토피아,바이론 하워드리치 무어,월트 디즈니 픽처스,2016-02-17,장편,미국,661,37077444042.0,4703245,12142771642.0,1465960,애니메이션,전체관람가,일반영화
엣지 오브 투모로우,더그 라이만,,2014-06-04,장편,미국,801,38703942201.0,4697142,12201872401.0,1401887,액션,12세이상관람가,일반영화
신세계,박훈정,(주)사나이픽처스(주)페퍼민트앤컴퍼니(주)대명문화공장(주)파트너스케이,2013-02-21,장편,한국,671,34881330905.0,4682492,11114978905.0,1435648,범죄,청소년관람불가,일반영화
쿵푸 팬더,마크 오스본존 스티븐슨,드림웍스 애니메이션,2008-06-05,장편,미국,351,30000965000.0,4673009,10590329000.0,1556669,애니메이션,전체관람가,일반영화
신비한 동물사전,데이빗 예이츠,,2016-11-16,장편,미국,1431,39337263058.0,4666993,12640487458.0,1425528,어드벤처,12세이상관람가,일반영화
도가니,황동혁,(주)삼거리픽쳐스(주)판타지오,2011-09-22,장편,한국,644,35566854800.0,4662822,10141606500.0,1267508,드라마,청소년관람불가,일반영화
내 아내의 모든 것,민규동,(주)수필름영화사 집,2012-05-17,장편,한국,563,34222160500.0,4598583,11547286500.0,1475165,코미디,15세이상관람가,일반영화
나쁜 녀석들: 더 무비,손용호,(주)씨제이이엔엠(주)영화사비단길,2019-09-11,장편,한국,1511,39560195124.0,4573902,8008441184.0,905239,범죄,15세이상관람가,일반영화
판도라,박정우,(주)씨에이씨엔터테인먼트,2016-12-07,장편,한국,1166,35965733064.0,4571142,7213559964.0,880999,드라마,12세이상관람가,일반영화
터미네이터 : 미래전쟁의 시작,맥지,더 할사이온 컴퍼니,2009-05-21,장편,미국,704,30146162133.0,4568891,9506441000.0,1367218,SF,15세이상관람가,일반영화
맘마미아!,필리다 로이드,,2008-09-03,장편,미국,457,29570784560.0,4554785,11275657333.0,1646593,멜로/로맨스,12세이상관람가,일반영화
연가시,박정우,(주)오죤필름,2012-07-05,장편,한국,759,32154766664.0,4513026,7819583000.0,1040068,공포(호러),15세이상관람가,일반영화
아이언맨 2,존 파브로,파라마운트 픽쳐스마블 엔터프라이즈,2010-04-29,장편,미국,757,33161943100.0,4498335,10697867500.0,1370291,SF,12세이상관람가,일반영화
강철비,양우석,(주)와이웍스엔터테인먼트(주)브이에이스튜디오,2017-12-14,장편,한국,1426,35477912466.0,4451336,8694723516.0,1060541,액션,15세이상관람가,일반영화
해리포터와 죽음의 성물2,데이빗 예이츠,,2011-07-13,장편,미국,757,34507819000.0,4400298,11183806000.0,1361311,판타지,전체관람가,일반영화
다만 악에서 구하소서,홍원찬,(주)하이브미디어코프,2020-08-05,장편,한국,1998,38554527990.0,4352669,8906277620.0,984042,범죄,15세이상관람가,일반영화
헌트,이정재,(주)아티스트스튜디오(주)사나이픽처스,2022-08-10,장편,한국,1625,44573032153.0,4350029,10985286495.0,1052205,액션,15세이상관람가,일반영화
더 퍼스트 슬램덩크,이노우에 다케히코,,2023-01-04,장편,일본,1023,44564473239.0,4325731,14348580807.0,1363223,애니메이션,12세이상관람가,일반영화
아이언맨,존 파브로,,2008-04-30,장편,미국,592,27802744668.0,4316003,9029366168.0,1329214,SF,12세이상관람가,일반영화
엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,20세기 폭스,2014-05-22,장편,미국,1056,34654558766.0,4313871,11315080666.0,1345720,액션,12세이상관람가,일반영화
강철중: 공공의 적 1-1,강우석,(주)시네마서비스글로벌(주)시네마서비스,2008-06-19,장편,한국,659,28465757767.0,4300670,9048970100.0,1298197,드라마,15세이상관람가,일반영화
아가씨,박찬욱,유한회사 아가씨에프에스모호필름(주)용필름,2016-06-01,장편,한국,1171,35114332791.0,4277071,10881501871.0,1283972,스릴러,청소년관람불가,일반영화
어메이징 스파이더맨 2,마크 웹,마블 엔터테인먼트,2014-04-23,장편,미국,1312,34869056800.0,4168350,10562832700.0,1187974,액션,12세이상관람가,일반영화
인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,,2008-05-22,장편,미국,660,26693951667.0,4136101,8495873167.0,1245028,액션,12세이상관람가,일반영화
용의자,원신연,(주)그린피쉬(주)쇼박스,2013-12-24,장편,한국,807,30037161000.0,4131248,7563772000.0,997760,액션,15세이상관람가,일반영화
건축학개론,이용주,(주)명필름,2012-03-22,장편,한국,593,30219800500.0,4110645,11003948000.0,1431173,멜로/로맨스,12세이상관람가,일반영화
미이라 3:황제의 무덤,롭 코헨,,2008-07-30,장편,미국,527,26222207084.0,4090795,6942890084.0,1027371,액션,12세이상관람가,일반영화
7급 공무원,신태라,(주)하리마오픽쳐스(주)영화사수작(주)디씨지플러스,2009-04-22,장편,한국,475,26701311856.0,4088799,8090460000.0,1173540,코미디,12세이상관람가,일반영화
다크 나이트,크리스토퍼 놀란,레전더리 픽쳐스,2008-08-06,장편,미국,462,27059471306.0,4087355,10406924000.0,1487898,범죄,15세이상관람가,일반영화
댄싱퀸,이석훈,(주)제이케이필름(주)씨제이이엔엠,2012-01-18,장편,한국,534,30129259500.0,4057546,8223006000.0,1055086,코미디,12세이상관람가,일반영화
우리 생애 최고의 순간,임순례,(주)엠케이픽처스,2008-01-10,장편,한국,418,26151780425.0,4044582,8551706425.0,1264173,드라마,전체관람가,일반영화
꾼,장창원,(주)영화사두둥,2017-11-22,장편,한국,1314,31313568795.0,4018341,7524464445.0,931901,범죄,15세이상관람가,일반영화
혹성탈출: 반격의 서막,맷 리브스,,2014-07-10,장편,미국,922,31509793095.0,4002134,9067860195.0,1095630,액션,12세이상관람가,일반영화
타짜-신의 손,강형철,(주)싸이더스,2014-09-03,장편,한국,890,32267244827.0,4001813,8495857527.0,1016403,드라마,청소년관람불가,일반영화
쿵푸팬더3,여인영알레산드로 칼로니,드림웍스 애니메이션,2016-01-28,장편,미국,1365,31340798156.0,3984812,8695148256.0,1045418,애니메이션,전체관람가,일반영화
캡틴 아메리카: 윈터 솔져,조 루소안소니 루소,마블 스튜디오,2014-03-26,장편,미국,1106,31710585385.0,3963220,10405400885.0,1237982,액션,15세이상관람가,일반영화
박수건달,조진규,주식회사 제이앤피박수건달문화산업전문(유)(주)쇼박스,2013-01-09,장편,한국,599,28343986569.0,3893216,6808915069.0,894127,코미디,15세이상관람가,일반영화
베놈,루벤 플레셔,,2018-10-03,장편,미국,1308,34100211207.0,3888096,9452036857.0,1026909,액션,15세이상관람가,일반영화
조선명탐정 : 사라진 놉의 딸,김석윤,청년필름(주),2015-02-11,장편,한국,811,30456879428.0,3872015,6908501928.0,845522,사극,12세이상관람가,일반영화
역린,이재규,굿초이스컷픽쳐스(주)(주)파파스필름,2014-04-30,장편,한국,1054,29893297890.0,3849433,8426821290.0,1044988,사극,15세이상관람가,일반영화
매드 맥스: 분노의 도로,조지 밀러,케네디 밀러 미첼,2015-05-14,장편,미국,799,32906364462.0,3842441,11443176062.0,1271954,액션,15세이상관람가,일반영화
남한산성,황동혁,(주)싸이런픽쳐스,2017-10-03,장편,한국,1229,31067321992.0,3829891,7375553392.0,889444,사극,15세이상관람가,일반영화
반도,연상호,(주)영화사레드피터,2020-07-15,장편,한국,2575,33071341280.0,3812080,8005831840.0,895163,액션,15세이상관람가,일반영화
데드풀 2,데이빗 레이치,마블 엔터테인먼트,2018-05-16,장편,미국,1576,34185664639.0,3784602,10757126939.0,1145250,액션,청소년관람불가,일반영화
쌍화점,유하,오퍼스픽쳐스(유),2008-12-30,장편,한국,499,25616489949.0,3779553,15503994514.0,2175717,드라마,청소년관람불가,일반영화
암수살인,김태균,(주)필름295(주)블러썸픽쳐스,2018-10-03,장편,한국,1177,32855895548.0,3772620,7777232448.0,862386,범죄,15세이상관람가,일반영화
국가부도의 날,최국희,영화사 집,2018-11-28,장편,한국,1180,30891765837.0,3754983,7993870137.0,937443,드라마,12세이상관람가,일반영화
신기전,김유진,(주)시네마서비스글로벌,2008-09-04,장편,한국,585,24314570667.0,3726134,6189726667.0,891357,사극,15세이상관람가,일반영화
미이라,알렉스 커츠먼,,2017-06-06,장편,미국,1257,30504689978.0,3689325,7851059428.0,909202,액션,15세이상관람가,일반영화
