영화명,감독,제작사,배급사,개봉일,국적,전국 스크린수,전국 매출액,전국 관객수,장르,등급,영화구분
사랑하고 사랑받고 차고 차이고,쿠로야나기 토시마사,도호 영화A-1 Pictures,주식회사 컨텐츠썬,2021-06,일본,155.0,143259400.0,15916.0,드라마,12세이상관람가,독립/예술영화
마왕의 딸 이리샤,장형윤,한국영화아카데미(주)지금이 아니면 안돼,(주)싸이더스(주)삼백상회,2019-09,한국,314.0,113205980.0,15894.0,애니메이션,전체관람가,독립/예술영화
극장판 살아남기 시리즈: 인체에서 살아남기,나스카와 미츠루이리요시 사토루,,(주)씨제이이엔엠,2022-08,일본,174.0,149305000.0,15892.0,애니메이션,전체관람가,일반영화
더 웨이브,로아 우타우,,(주)팝엔터테인먼트,2016-07,기타,140.0,124772321.0,15890.0,액션,12세이상관람가,독립/예술영화
아기돼지 3형제와 쿵푸랜드,유위,,와이드 릴리즈(주),2018-02,중국,154.0,103627100.0,15885.0,애니메이션,전체관람가,일반영화
어바웃 리키,조나단 드미,트라이스타 픽처스,유니버설픽쳐스인터내셔널 코리아(유),2015-09,미국,123.0,118503900.0,15867.0,드라마,15세이상관람가,일반영화
로코왕국의 전설: 엘프킹을 찾아서,위성준,,(주)마인스 엔터테인먼트(유)영화사 화수분,2014-06,중국,178.0,105367100.0,15846.0,애니메이션,전체관람가,독립/예술영화
키즈모노가타리 II : 열혈편,신보 아키유키,,(주)박수엔터테인먼트,2016-10,일본,69.0,122123000.0,15800.0,애니메이션,15세이상관람가,일반영화
극장판 샤이닝스타:새로운 루나퀸의 탄생!,박일호정지훈이승호,(주)마로스튜디오,(주)리틀빅픽쳐스,2019-07,한국,117.0,129098700.0,15785.0,애니메이션,전체관람가,일반영화
뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,카키모토 코다이,,(주)애니플러스,2021-09,일본,86.0,146042240.0,15698.0,애니메이션,전체관람가,일반영화
웨스턴 리벤지,크리스티안 레브링,,(주)영화사 빅,2014-10,기타,117.0,119414000.0,15671.0,액션,청소년관람불가,독립/예술영화
밥정,박혜령,(주)하얀소엔터테인먼트,(주)엣나인필름,2020-10,한국,182.0,123204940.0,15650.0,다큐멘터리,전체관람가,독립/예술영화
와일드 로즈,톰 하퍼,크리에이티브 스코틀랜드,판씨네마(주),2019-10,영국,152.0,117838040.0,15650.0,드라마,15세이상관람가,독립/예술영화
런던 블러바드,윌리엄 모나한,,(주)팝파트너스,2012-09,미국,131.0,107401000.0,15539.0,범죄,15세이상관람가,일반영화
라라와 움직이는 비밀의 숲,왕운비,,(주)박수엔터테인먼트,2019-08,중국,237.0,111951960.0,15484.0,애니메이션,전체관람가,일반영화
브레이브 언더 파이어,알렉세이 누즈니,센트럴 파트너십,(주)박수엔터테인먼트,2021-03,러시아,203.0,122427400.0,15435.0,액션,12세이상관람가,일반영화
아메리칸 파이: 19금 동창회,존 허위츠헤이든 쉬로스버그,,유니버설픽쳐스인터내셔널 코리아(유),2012-08,미국,117.0,113072000.0,15431.0,코미디,청소년관람불가,일반영화
조,드레이크 도리머스,,(주)팝엔터테인먼트,2019-07,미국,69.0,127481096.0,15429.0,멜로/로맨스,15세이상관람가,독립/예술영화
빛나는 순간,소준문,(주)명필름웬에버스튜디오명필름랩,(주)명필름(주)씨네필운,2021-06,한국,267.0,129246670.0,15389.0,드라마,12세이상관람가,독립/예술영화
블랙핑크 더 무비,오윤동정수이,씨제이포디플렉스 주식회사,씨제이포디플렉스 주식회사,2021-08,한국,147.0,200750000.0,15387.0,공연,전체관람가,일반영화
극장판 요괴워치: 포에버 프렌즈,타카하시 시게하루,,(주)씨제이이엔엠,2020-10,일본,422.0,120684750.0,15386.0,애니메이션,전체관람가,일반영화
더블패티,백승환,(주)백그림,(주)케이티알파판씨네마(주),2021-02,한국,265.0,132609660.0,15383.0,드라마,15세이상관람가,일반영화
극장판 날아라! 호빵맨 : 바나나섬을 되찾아줘,야노 히로유키,,와이드 릴리즈(주),2014-06,일본,235.0,104193000.0,15382.0,애니메이션,전체관람가,독립/예술영화
배드 지니어스,나타우트 푼프리야,조르 쾅 필름스,(주)팝엔터테인먼트,2017-11,기타,200.0,120082336.0,15319.0,스릴러,15세이상관람가,독립/예술영화
아스테릭스: 신들의 전당,루이 클리시알렉상드르 아스티에,SND 필름스,(주)나이너스엔터테인먼트,2015-04,프랑스,104.0,108464000.0,15315.0,애니메이션,전체관람가,일반영화
프로페서 앤 매드맨,P.B. 셰므란,볼티지 픽처스,그린나래미디어(주),2021-06,미국,320.0,129813510.0,15289.0,드라마,15세이상관람가,독립/예술영화
꼬마 유령,알랑 그스포너,,(주)영화사오원,2015-06,독일,176.0,110213300.0,15276.0,판타지,전체관람가,독립/예술영화
아이 인 더 스카이,개빈 후드,엔터테인먼트 원,판씨네마(주),2016-07,영국,205.0,116603200.0,15258.0,전쟁,12세이상관람가,일반영화
쁘띠 마망,셀린 시아마,카날+,찬란,2021-10,프랑스,97.0,138444540.0,15252.0,드라마,전체관람가,독립/예술영화
스톤,존 커랜,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2011-10,미국,77.0,116295000.0,15241.0,드라마,청소년관람불가,일반영화
핑크퐁 시네마 콘서트 : 우주대탐험,변희선,더핑크퐁컴퍼니(주),더핑크퐁컴퍼니(주),2020-01,한국,182.0,118488500.0,15229.0,애니메이션,전체관람가,일반영화
삽질,김병기,ohmynews,(주)엣나인필름,2019-11,한국,171.0,120829530.0,15228.0,다큐멘터리,12세이상관람가,독립/예술영화
워 위드 그랜파,팀 힐,,(주)키다리이엔티(주)태양미디어그룹,2021-02,미국,322.0,125136310.0,15214.0,코미디,12세이상관람가,독립/예술영화
해수의 아이,와타나베 아유무,,(주)영화사오원,2020-09,일본,76.0,139987850.0,15211.0,애니메이션,전체관람가,독립/예술영화
토마스와 친구들: 잃어버린 왕관,롭 실베스트리,,(주)씨제이이엔엠,2014-11,영국,110.0,110482700.0,15202.0,애니메이션,전체관람가,일반영화
몬스터 싱어: 매직 인 파리,비보 베르즈롱,,(주)다날엔터테인먼트,2022-05,프랑스,266.0,128787720.0,15187.0,애니메이션,전체관람가,독립/예술영화
메리 미,캣 코이로,,유니버설픽쳐스인터내셔널 코리아(유),2022-03,미국,179.0,99754800.0,15164.0,멜로/로맨스,12세이상관람가,일반영화
슈퍼 베어,왕 치,,와이드 릴리즈(주),2020-01,미국,227.0,106064760.0,15164.0,액션,전체관람가,독립/예술영화
캡틴 샤키,허버트 베일란드,,예지림엔터테인먼트,2018-11,독일,175.0,106383150.0,15121.0,애니메이션,전체관람가,독립/예술영화
호비와 무지개 오아시스 대모험,히라바야시 이사무,,(주)머스트씨무비릴리징컴퍼니,2017-09,일본,103.0,104470000.0,15101.0,애니메이션,전체관람가,일반영화
