영화명,감독,제작사,배급사,개봉일,국적,전국 스크린수,전국 매출액,전국 관객수,장르,등급,영화구분
명량,김한민,(주)빅스톤픽쳐스,(주)씨제이이엔엠,2014-07,한국,1587.0,135748398910.0,17613682.0,사극,15세이상관람가,일반영화
극한직업,이병헌,(주)어바웃잇영화사 해그림 주식회사(주)씨제이이엔엠,(주)씨제이이엔엠,2019-01,한국,1978.0,139647979516.0,16264944.0,코미디,15세이상관람가,일반영화
신과함께-죄와 벌,김용화,리얼라이즈픽쳐스(주)(주)덱스터스튜디오,롯데쇼핑㈜롯데엔터테인먼트,2017-12,한국,1912.0,115698654137.0,14410754.0,판타지,12세이상관람가,일반영화
국제시장,윤제균,(주)제이케이필름(주)씨제이이엔엠,(주)씨제이이엔엠,2014-12,한국,966.0,110828014630.0,14245998.0,드라마,12세이상관람가,일반영화
어벤져스: 엔드게임,안소니 루소조 루소,마블 스튜디오,월트디즈니컴퍼니코리아 유한책임회사,2019-04,미국,2835.0,122182694160.0,13934592.0,액션,12세이상관람가,일반영화
겨울왕국 2,크리스 벅제니퍼 리,월트 디즈니 픽처스,월트디즈니컴퍼니코리아 유한책임회사,2019-11,미국,2648.0,114810421450.0,13747792.0,애니메이션,전체관람가,일반영화
아바타,제임스 카메론,이십세기폭스필름코퍼레이션,주식회사 해리슨앤컴퍼니이십세기폭스코리아(주),2009-12,미국,912.0,128447097523.0,13624328.0,SF,12세이상관람가,독립/예술영화
베테랑,류승완,(주)외유내강(주)필름케이,(주)씨제이이엔엠,2015-08,한국,1064.0,105024756250.0,13395400.0,액션,15세이상관람가,일반영화
도둑들,최동훈,(주)케이퍼필름,(주)쇼박스,2012-07,한국,1072.0,93665568500.0,12983330.0,액션,15세이상관람가,일반영화
7번방의 선물,이환경,(주)화인웍스(주)씨엘엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2013-01,한국,787.0,91431914670.0,12811206.0,코미디,15세이상관람가,일반영화
암살,최동훈,(주)케이퍼필름,(주)쇼박스,2015-07,한국,1519.0,98463132781.0,12705700.0,액션,15세이상관람가,일반영화
범죄도시2,이상용,주식회사 빅펀치픽쳐스(주)홍필름(주)비에이엔터테인먼트,주식회사 에이비오엔터테인먼트플러스엠 엔터테인먼트,2022-05,한국,2498.0,131293353478.0,12692959.0,범죄,15세이상관람가,일반영화
알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,2019-05,미국,1311.0,106983620359.0,12555894.0,어드벤처,전체관람가,일반영화
광해 왕이 된 남자,추창민,리얼라이즈픽쳐스(주)(주)씨제이이엔엠,(주)씨제이이엔엠,2012-09,한국,810.0,88900208769.0,12319542.0,사극,15세이상관람가,일반영화
신과함께-인과 연,김용화,리얼라이즈픽쳐스(주)(주)덱스터스튜디오,롯데컬처웍스(주)롯데엔터테인먼트,2018-08,한국,2235.0,102476768809.0,12253247.0,판타지,12세이상관람가,일반영화
택시운전사,장훈,더램프(주),(주)쇼박스,2017-08,한국,1906.0,95284747049.0,12099971.0,드라마,15세이상관람가,일반영화
부산행,연상호,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),2016-07,한국,1788.0,93175877048.0,11565078.0,액션,15세이상관람가,일반영화
해운대,윤제균,(주)제이케이필름,CJ ENM,2009-07,한국,753.0,81934638201.0,11453338.0,액션,12세이상관람가,일반영화
변호인,양우석,위더스필름(주),(주)넥스트엔터테인먼트월드(NEW),2013-12,한국,923.0,82856578300.0,11372451.0,드라마,15세이상관람가,일반영화
어벤져스: 인피니티 워,안소니 루소조 루소,마블 스튜디오,월트디즈니컴퍼니코리아 유한책임회사,2018-04,미국,2553.0,99919006769.0,11211880.0,액션,12세이상관람가,일반영화
아바타: 물의 길,제임스 카메론,라이트스톰 엔터테인먼트,월트디즈니컴퍼니코리아 유한책임회사,2022-12,미국,2809.0,137587341964.0,10801074.0,액션,12세이상관람가,일반영화
어벤져스: 에이지 오브 울트론,조스 웨던,마블 스튜디오,월트디즈니컴퍼니코리아 유한책임회사월트디즈니컴퍼니코리아(주),2015-04,미국,1843.0,88582586366.0,10494499.0,액션,12세이상관람가,일반영화
기생충,봉준호,(주)바른손이앤에이,(주)씨제이이엔엠,2019-05,한국,1948.0,87459829095.0,10313086.0,드라마,15세이상관람가,일반영화
겨울왕국,크리스 벅제니퍼 리,월트 디즈니 픽처스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01,미국,1010.0,82461504400.0,10296101.0,애니메이션,전체관람가,일반영화
인터스텔라,크리스토퍼 놀란,레전더리 픽처스,워너브러더스 코리아(주),2014-11,미국,1342.0,82274331200.0,10273803.0,SF,12세이상관람가,일반영화
보헤미안 랩소디,브라이언 싱어,,월트디즈니컴퍼니코리아 유한책임회사이십세기폭스코리아(주),2018-10,미국,936.0,86280975785.0,9948386.0,드라마,12세이상관람가,일반영화
검사외전,이일형,(주)영화사 월광(주)사나이픽처스,(주)쇼박스,2016-02,한국,1812.0,77252755264.0,9699092.0,범죄,15세이상관람가,일반영화
엑시트,이상근,(주)외유내강(주)필름케이,(주)씨제이이엔엠,2019-07,한국,1660.0,79232212162.0,9426051.0,코미디,12세이상관람가,일반영화
관상,한재림,(주)주피터필름(주)쇼박스,(주)쇼박스,2013-09,한국,1190.0,66005451500.0,9134586.0,사극,15세이상관람가,일반영화
아이언맨 3,쉐인 블랙,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04,미국,1381.0,70806191000.0,9001309.0,액션,12세이상관람가,일반영화
설국열차,봉준호,모호필름오퍼스픽쳐스(유),(주)씨제이이엔엠,2013-08,한국,1128.0,64016480000.0,8914845.0,SF,15세이상관람가,일반영화
캡틴 아메리카: 시빌 워,안소니 루소조 루소,마블 스튜디오,월트디즈니컴퍼니코리아 유한책임회사월트디즈니컴퍼니코리아(주),2016-04,미국,1991.0,72672111827.0,8677249.0,액션,12세이상관람가,일반영화
수상한 그녀,황동혁,(주)예인플러스엔터테인먼트아이앤코스모스(주)시네와이즈필름,(주)씨제이이엔엠,2014-01,한국,692.0,62696639249.0,8656397.0,드라마,15세이상관람가,일반영화
해적: 바다로 간 산적,이석훈,(주)하리마오픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2014-08,한국,838.0,66240631706.0,8646758.0,어드벤처,12세이상관람가,일반영화
국가대표,김용화,케이엠컬쳐㈜,(주)쇼박스,2009-07,한국,580.0,60896633308.0,8487894.0,드라마,12세이상관람가,일반영화
백두산,이해준김병서,주식회사 덱스터 픽쳐스(주)퍼펙트스톰필름(주)씨제이이엔엠,(주)씨제이이엔엠(주)덱스터스튜디오,2019-12,한국,1971.0,69825366300.0,8252669.0,어드벤처,12세이상관람가,일반영화
과속스캔들,강형철,(주)토일렛픽쳐스(주)디씨지플러스,롯데쇼핑㈜롯데엔터테인먼트,2008-12,한국,405.0,53940101534.0,8245523.0,코미디,12세이상관람가,일반영화
탑건: 매버릭,조셉 코신스키,스카이댄스 미디어,롯데컬처웍스(주)롯데엔터테인먼트,2022-06,미국,1975.0,87855360975.0,8177446.0,액션,12세이상관람가,일반영화
스파이더맨: 파 프롬 홈,존 왓츠,컬럼비아 픽처스,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07,미국,2142.0,69000711100.0,8020208.0,액션,12세이상관람가,일반영화
공조,김성훈,(주)제이케이필름(주)씨제이이엔엠(주)영화사 이창(주)에이치비엔터테인먼트,(주)씨제이이엔엠,2017-01,한국,976.0,63781731326.0,7817446.0,액션,15세이상관람가,일반영화
트랜스포머 3,마이클 베이,해즈브로 스튜디오,(주)씨제이이엔엠,2011-06,미국,1409.0,74841350500.0,7784807.0,액션,12세이상관람가,일반영화
히말라야,이석훈,(주)제이케이필름,(주)씨제이이엔엠,2015-12,한국,1009.0,60173583015.0,7759473.0,드라마,12세이상관람가,일반영화
미션임파서블:고스트프로토콜,브래드 버드,파라마운트 픽쳐스,(주)씨제이이엔엠,2011-12,미국,1038.0,57795846000.0,7575899.0,액션,15세이상관람가,일반영화
스파이더맨: 노 웨이 홈,존 왓츠,컬럼비아 픽처스,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12,미국,2948.0,75193912210.0,7551990.0,액션,12세이상관람가,일반영화
트랜스포머: 패자의 역습,마이클 베이,드림웍스 SKG파라마운트 픽쳐스,CJ ENM,2009-06,미국,1129.0,51478531663.0,7505700.0,SF,12세이상관람가,일반영화
밀정,김지운,(주)다크서클픽쳐스워너브러더스 코리아(주)(주)영화사하얼빈,워너브러더스 코리아(주),2016-09,한국,1444.0,61158644831.0,7487545.0,액션,15세이상관람가,일반영화
최종병기 활,김한민,(주)디씨지플러스(주)다세포클럽,롯데쇼핑㈜롯데엔터테인먼트,2011-08,한국,615.0,55808856500.0,7466976.0,사극,15세이상관람가,일반영화
써니,강형철,(주)알로하픽쳐스(주)토일렛픽쳐스,(주)씨제이이엔엠,2011-05,한국,472.0,53773170600.0,7328820.0,드라마,15세이상관람가,일반영화
한산: 용의 출현,김한민,(주)빅스톤픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,2022-07,한국,2223.0,73700628377.0,7264934.0,액션,12세이상관람가,일반영화
스파이더맨: 홈 커밍,존 왓츠,컬럼비아 픽처스,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07,미국,1965.0,59120173820.0,7257973.0,액션,12세이상관람가,일반영화
1987,장준환,(주)우정필름,(주)씨제이이엔엠,2017-12,한국,1299.0,58165581145.0,7231638.0,드라마,15세이상관람가,일반영화
베를린,류승완,(주)외유내강(주)씨제이이엔엠,(주)씨제이이엔엠,2013-01,한국,894.0,52354931637.0,7166199.0,액션,15세이상관람가,일반영화
마스터,조의석,영화사 집,(주)씨제이이엔엠,2016-12,한국,1501.0,58067927865.0,7150541.0,액션,15세이상관람가,일반영화
터널,김성훈,(주)어나더썬데이(주)비에이엔터테인먼트,(주)쇼박스,2016-08,한국,1105.0,57510324417.0,7118592.0,드라마,12세이상관람가,일반영화
어벤져스,조스 웨던,,월트디즈니컴퍼니코리아 유한책임회사한국소니픽쳐스릴리징브에나비스타영화㈜,2012-04,미국,967.0,59557853478.0,7074867.0,액션,12세이상관람가,일반영화
내부자들,우민호,(유)내부자들 문화전문회사,(주)쇼박스,2015-11,한국,1075.0,56596582057.0,7071763.0,범죄,청소년관람불가,일반영화
인천상륙작전,이재한,(주)태원엔터테인먼트,(주)씨제이이엔엠,2016-07,한국,1049.0,55101410303.0,7049643.0,전쟁,12세이상관람가,일반영화
공조2: 인터내셔날,이석훈,(주)제이케이필름(주)씨제이이엔엠,(주)씨제이이엔엠,2022-09,한국,2389.0,70884583586.0,6979319.0,액션,15세이상관람가,일반영화
럭키,이계벽,(주)용필름,(주)쇼박스,2016-10,한국,1158.0,56361435256.0,6965706.0,코미디,15세이상관람가,일반영화
은밀하게 위대하게,장철수,(주)엠씨엠씨,(주)쇼박스,2013-06,한국,1341.0,48663939413.0,6953800.0,액션,15세이상관람가,일반영화
곡성,나홍진,(주)사이드미러이십세기폭스 인터내셔널 프로덕션,이십세기폭스코리아(주),2016-05,한국,1485.0,55853108382.0,6878264.0,미스터리,15세이상관람가,일반영화
범죄도시,강윤성,(주)홍필름(주)비에이엔터테인먼트,플러스엠 엔터테인먼트(주)키위미디어그룹,2017-10,한국,1315.0,56077813249.0,6851297.0,범죄,청소년관람불가,일반영화
좋은 놈 나쁜 놈 이상한 놈,김지운,(주)다크서클픽쳐스(주)바른손이앤에이,CJ ENM,2008-07,한국,825.0,43768628939.0,6686912.0,서부극(웨스턴),15세이상관람가,일반영화
늑대소년,조성희,(주)영화사비단길,(주)씨제이이엔엠,2012-10,한국,706.0,46593107500.0,6654837.0,멜로/로맨스,15세이상관람가,일반영화
군함도,류승완,(주)외유내강(주)필름케이,(주)씨제이이엔엠,2017-07,한국,2027.0,50510565168.0,6592151.0,액션,15세이상관람가,일반영화
미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,2018-07,미국,1957.0,55888375112.0,6584915.0,액션,15세이상관람가,일반영화
다크 나이트 라이즈,크리스토퍼 놀란,레전더리 픽처스,워너브러더스 코리아(주),2012-07,미국,1210.0,47644838000.0,6396528.0,액션,15세이상관람가,일반영화
아저씨,이정범,오퍼스픽쳐스(유),CJ ENM,2010-08,한국,478.0,47870792359.0,6282774.0,액션,청소년관람불가,일반영화
사도,이준익,(주)타이거픽쳐스,(주)쇼박스,2015-09,한국,1210.0,48842902501.0,6246849.0,사극,12세이상관람가,일반영화
전우치,최동훈,영화사 집,CJ ENM,2009-12,한국,606.0,44605437017.0,6136928.0,액션,12세이상관람가,일반영화
미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,배드 로봇 프로덕션스,롯데쇼핑㈜롯데엔터테인먼트,2015-07,미국,1202.0,48547353607.0,6126488.0,액션,15세이상관람가,일반영화
킹스맨 : 시크릿 에이전트,매튜 본,마브 필름스,이십세기폭스코리아(주),2015-02,미국,706.0,50333635795.0,6125154.0,액션,청소년관람불가,일반영화
연평해전,김학순,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),2015-06,한국,1013.0,45560620330.0,6043458.0,드라마,12세이상관람가,일반영화
인셉션,크리스토퍼 놀란,워너 브러더스 픽쳐스레젼데리 픽쳐스,(주)디스테이션워너브러더스 코리아(주),2010-07,미국,528.0,44106546302.0,5926948.0,드라마,12세이상관람가,일반영화
레미제라블,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),2012-12,미국,696.0,43044999000.0,5911890.0,드라마,12세이상관람가,일반영화
닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,마블 스튜디오,월트디즈니컴퍼니코리아 유한책임회사,2022-05,미국,2691.0,62648728870.0,5884587.0,액션,12세이상관람가,일반영화
캡틴 마블,애너 보든라이언 플렉,,월트디즈니컴퍼니코리아 유한책임회사,2019-03,미국,2100.0,51491272223.0,5801069.0,액션,12세이상관람가,일반영화
쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,유니버설 픽처스,유니버설픽쳐스인터내셔널 코리아(유),2018-06,미국,1972.0,49770711037.0,5661128.0,액션,12세이상관람가,일반영화
청년경찰,김주환,(주)무비락(주)도서관옆스튜디오베리굿스튜디오(주),롯데쇼핑㈜롯데엔터테인먼트,2017-08,한국,1102.0,44241099316.0,5636259.0,액션,15세이상관람가,일반영화
숨바꼭질,허정,(주)드림캡쳐,(주)넥스트엔터테인먼트월드(NEW),2013-08,한국,779.0,39593038500.0,5602543.0,스릴러,15세이상관람가,일반영화
덕혜옹주,허진호,(주)하이브미디어코프(주)영화사호필름 (주)디씨지플러스,롯데쇼핑㈜롯데엔터테인먼트,2016-08,한국,964.0,44344141109.0,5593551.0,사극,12세이상관람가,일반영화
더 테러 라이브,김병우,(주)씨네이천,롯데쇼핑㈜롯데엔터테인먼트,2013-07,한국,743.0,39866712881.0,5583596.0,범죄,15세이상관람가,일반영화
쥬라기 월드,콜린 트레보로우,레전더리 픽처스,유니버설픽쳐스인터내셔널 코리아(유),2015-06,미국,1290.0,47800698826.0,5546792.0,액션,12세이상관람가,일반영화
의형제,장훈,(주)쇼박스(주)다세포클럽루비콘픽쳐스㈜,(주)쇼박스,2010-02,한국,572.0,40800867602.0,5507106.0,드라마,15세이상관람가,일반영화
감시자들,조의석김병서,영화사 집,(주)넥스트엔터테인먼트월드(NEW),2013-07,한국,949.0,39298005179.0,5496547.0,범죄,15세이상관람가,일반영화
2012,롤랜드 에머리히,센트로폴리스 엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11,미국,789.0,39415166660.0,5462953.0,SF,12세이상관람가,일반영화
앤트맨과 와스프,페이튼 리드,마블 스튜디오,월트디즈니컴퍼니코리아 유한책임회사,2018-07,미국,1775.0,47465443185.0,5447826.0,액션,12세이상관람가,일반영화
닥터 스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),2016-10,미국,1503.0,47482530396.0,5446379.0,액션,12세이상관람가,일반영화
검은 사제들,장재현,영화사 집,(주)씨제이이엔엠,2015-11,한국,1088.0,42395347092.0,5440945.0,미스터리,15세이상관람가,일반영화
안시성,김광식,(주)영화사수작(주)스튜디오앤뉴모티브픽쳐스(주),(주)넥스트엔터테인먼트월드(NEW),2018-09,한국,1540.0,46335334026.0,5440186.0,사극,12세이상관람가,일반영화
블랙 팬서,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,2018-02,미국,1620.0,45883143457.0,5398994.0,액션,12세이상관람가,일반영화
더 킹,한재림,(주)매그넘나인,(주)넥스트엔터테인먼트월드(NEW),2017-01,한국,1310.0,43486078535.0,5316325.0,범죄,15세이상관람가,일반영화
완득이,이한,(주)유비유필름어나더픽쳐스(주),(주)씨제이이엔엠,2011-10,한국,500.0,38530503500.0,5310510.0,드라마,12세이상관람가,일반영화
트랜스포머: 사라진 시대,마이클 베이,해즈브로 스튜디오,(주)씨제이이엔엠,2014-06,미국,1602.0,44012272845.0,5295801.0,액션,12세이상관람가,일반영화
완벽한 타인,이재규,(주)필름몬스터드라마하우스(주),롯데컬처웍스(주)롯데엔터테인먼트,2018-10,한국,1313.0,44356752474.0,5294119.0,드라마,15세이상관람가,일반영화
조커,토드 필립스,,워너브러더스 코리아(주),2019-10,미국,1418.0,45442252130.0,5255228.0,액션,15세이상관람가,일반영화
월드 워 Z,마크 포스터,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-06,미국,964.0,38555357000.0,5237525.0,드라마,15세이상관람가,일반영화
타워,김지훈,(주)씨제이이엔엠(주)더타워픽쳐스,(주)씨제이이엔엠,2012-12,한국,617.0,37654858000.0,5181014.0,드라마,12세이상관람가,일반영화
미녀와 야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,2017-03,미국,1627.0,42130589579.0,5137993.0,멜로/로맨스,전체관람가,일반영화
추격자,나홍진,(주)영화사비단길,(주)쇼박스,2008-02,한국,435.0,33943278500.0,5071619.0,범죄,청소년관람불가,일반영화
독전,이해영,(주)용필름보야저필름,(주)넥스트엔터테인먼트월드(NEW),2018-05,한국,1357.0,43484892913.0,5063620.0,범죄,15세이상관람가,일반영화
쿵푸팬더 2,여인영,드림웍스 애니메이션,(주)씨제이이엔엠,2011-05,미국,948.0,44298724500.0,5062722.0,애니메이션,전체관람가,일반영화
아쿠아맨,제임스 완,,워너브러더스 코리아(주),2018-12,미국,1285.0,44113456704.0,5038134.0,액션,12세이상관람가,일반영화
공작,윤종빈,(주)영화사 월광(주)사나이픽처스,(주)씨제이이엔엠,2018-08,한국,1317.0,42759410176.0,4971261.0,드라마,12세이상관람가,일반영화
인사이드 아웃,피트 닥터,,월트디즈니컴퍼니코리아(주),2015-07,미국,777.0,38015586936.0,4968687.0,애니메이션,전체관람가,일반영화
킹스맨: 골든 서클,매튜 본,마브 필름스,이십세기폭스코리아(주),2017-09,미국,1687.0,40987484736.0,4945484.0,액션,청소년관람불가,일반영화
바람과 함께 사라지다,김주호,(주)두타연(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),2012-08,한국,694.0,34524377161.0,4897551.0,코미디,12세이상관람가,일반영화
마션,리들리 스콧,,월트디즈니컴퍼니코리아 유한책임회사이십세기폭스코리아(주),2015-10,미국,1132.0,39612764295.0,4875494.0,액션,12세이상관람가,일반영화
토르: 라그나로크,타이카 와이티티,마블 스튜디오,월트디즈니컴퍼니코리아 유한책임회사,2017-10,미국,1640.0,39248432595.0,4857152.0,액션,12세이상관람가,일반영화
어메이징 스파이더맨,마크 웹,,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06,미국,1118.0,41163951235.0,4853123.0,액션,12세이상관람가,일반영화
님아 그 강을 건너지 마오,진모영,아거스필름,CGV아트하우스(주)대명문화공장,2014-11,한국,206.0,37354452679.0,4801355.0,다큐멘터리,전체관람가,독립/예술영화
조선명탐정 : 각시투구꽃의 비밀,김석윤,청년필름(주),(주)쇼박스,2011-01,한국,611.0,35841769500.0,4786259.0,코미디,12세이상관람가,일반영화
봉오동 전투,원신연,(주)빅스톤픽쳐스(주)더블유픽처스(주)쇼박스,(주)쇼박스,2019-08,한국,1476.0,40514276538.0,4779501.0,사극,15세이상관람가,일반영화
군도: 민란의 시대,윤종빈,(주)영화사 월광(주)쇼박스,(주)쇼박스,2014-07,한국,1394.0,36987755999.0,4774895.0,사극,15세이상관람가,일반영화
남산의 부장들,우민호,(주)하이브미디어코프,(주)쇼박스,2020-01,한국,1659.0,41223596650.0,4750104.0,드라마,15세이상관람가,일반영화
라이온 킹,존 파브로,월트 디즈니 픽처스,월트디즈니컴퍼니코리아 유한책임회사,2019-07,미국,1936.0,41518977430.0,4743184.0,어드벤처,전체관람가,일반영화
범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,(주)팔레트픽처스(주)쇼박스,(주)쇼박스,2012-02,한국,699.0,36479147500.0,4710454.0,범죄,청소년관람불가,일반영화
주토피아,바이론 하워드리치 무어,월트 디즈니 픽처스,월트디즈니컴퍼니코리아(주),2016-02,미국,661.0,37077444042.0,4703245.0,애니메이션,전체관람가,일반영화
엣지 오브 투모로우,더그 라이만,,워너브러더스 코리아(주),2014-06,미국,801.0,38703942201.0,4697142.0,액션,12세이상관람가,일반영화
신세계,박훈정,(주)사나이픽처스(주)페퍼민트앤컴퍼니(주)대명문화공장(주)파트너스케이,(주)넥스트엔터테인먼트월드(NEW),2013-02,한국,671.0,34881330905.0,4682492.0,범죄,청소년관람불가,일반영화
쿵푸 팬더,마크 오스본존 스티븐슨,드림웍스 애니메이션,CJ ENM,2008-06,미국,351.0,30000965000.0,4673009.0,애니메이션,전체관람가,일반영화
신비한 동물사전,데이빗 예이츠,,워너브러더스 코리아(주),2016-11,미국,1431.0,39337263058.0,4666993.0,어드벤처,12세이상관람가,일반영화
도가니,황동혁,(주)삼거리픽쳐스(주)판타지오,(주)씨제이이엔엠,2011-09,한국,644.0,35566854800.0,4662822.0,드라마,청소년관람불가,일반영화
내 아내의 모든 것,민규동,(주)수필름영화사 집,(주)넥스트엔터테인먼트월드(NEW),2012-05,한국,563.0,34222160500.0,4598583.0,코미디,15세이상관람가,일반영화
나쁜 녀석들: 더 무비,손용호,(주)씨제이이엔엠(주)영화사비단길,(주)씨제이이엔엠,2019-09,한국,1511.0,39560195124.0,4573902.0,범죄,15세이상관람가,일반영화
판도라,박정우,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2016-12,한국,1166.0,35965733064.0,4571142.0,드라마,12세이상관람가,일반영화
터미네이터 : 미래전쟁의 시작,맥지,더 할사이온 컴퍼니,롯데쇼핑㈜롯데엔터테인먼트,2009-05,미국,704.0,30146162133.0,4568891.0,SF,15세이상관람가,일반영화
맘마미아!,필리다 로이드,,유니버설픽쳐스인터내셔널 코리아(유),2008-09,미국,457.0,29570784560.0,4554785.0,멜로/로맨스,12세이상관람가,일반영화
연가시,박정우,(주)오죤필름,(주)씨제이이엔엠,2012-07,한국,759.0,32154766664.0,4513026.0,공포(호러),15세이상관람가,일반영화
아이언맨 2,존 파브로,파라마운트 픽쳐스마블 엔터프라이즈,CJ ENM,2010-04,미국,757.0,33161943100.0,4498335.0,SF,12세이상관람가,일반영화
강철비,양우석,(주)와이웍스엔터테인먼트(주)브이에이스튜디오,(주)넥스트엔터테인먼트월드(NEW),2017-12,한국,1426.0,35477912466.0,4451336.0,액션,15세이상관람가,일반영화
해리포터와 죽음의 성물2,데이빗 예이츠,,워너브러더스 코리아(주),2011-07,미국,757.0,34507819000.0,4400298.0,판타지,전체관람가,일반영화
다만 악에서 구하소서,홍원찬,(주)하이브미디어코프,(주)씨제이이엔엠,2020-08,한국,1998.0,38554527990.0,4352669.0,범죄,15세이상관람가,일반영화
헌트,이정재,(주)아티스트스튜디오(주)사나이픽처스,플러스엠 엔터테인먼트,2022-08,한국,1625.0,44573032153.0,4350029.0,액션,15세이상관람가,일반영화
더 퍼스트 슬램덩크,이노우에 다케히코,,(주)넥스트엔터테인먼트월드(NEW),2023-01,일본,1023.0,44564473239.0,4325731.0,애니메이션,12세이상관람가,일반영화
아이언맨,존 파브로,,CJ ENM,2008-04,미국,592.0,27802744668.0,4316003.0,SF,12세이상관람가,일반영화
엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,20세기 폭스,이십세기폭스코리아(주),2014-05,미국,1056.0,34654558766.0,4313871.0,액션,12세이상관람가,일반영화
강철중: 공공의 적 1-1,강우석,(주)시네마서비스글로벌(주)시네마서비스,CJ ENM(주)시네마서비스,2008-06,한국,659.0,28465757767.0,4300670.0,드라마,15세이상관람가,일반영화
아가씨,박찬욱,유한회사 아가씨에프에스모호필름(주)용필름,(주)씨제이이엔엠,2016-06,한국,1171.0,35114332791.0,4277071.0,스릴러,청소년관람불가,일반영화
어메이징 스파이더맨 2,마크 웹,마블 엔터테인먼트,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04,미국,1312.0,34869056800.0,4168350.0,액션,12세이상관람가,일반영화
인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,,CJ ENM,2008-05,미국,660.0,26693951667.0,4136101.0,액션,12세이상관람가,일반영화
용의자,원신연,(주)그린피쉬(주)쇼박스,(주)쇼박스,2013-12,한국,807.0,30037161000.0,4131248.0,액션,15세이상관람가,일반영화
건축학개론,이용주,(주)명필름,롯데쇼핑㈜롯데엔터테인먼트,2012-03,한국,593.0,30219800500.0,4110645.0,멜로/로맨스,12세이상관람가,일반영화
미이라 3:황제의 무덤,롭 코헨,,유니버설픽쳐스인터내셔널 코리아(유),2008-07,미국,527.0,26222207084.0,4090795.0,액션,12세이상관람가,일반영화
7급 공무원,신태라,(주)하리마오픽쳐스(주)영화사수작(주)디씨지플러스,롯데쇼핑㈜롯데엔터테인먼트,2009-04,한국,475.0,26701311856.0,4088799.0,코미디,12세이상관람가,일반영화
다크 나이트,크리스토퍼 놀란,레전더리 픽쳐스,주식회사 해리슨앤컴퍼니워너브러더스 코리아(주),2008-08,미국,462.0,27059471306.0,4087355.0,범죄,15세이상관람가,일반영화
댄싱퀸,이석훈,(주)제이케이필름(주)씨제이이엔엠,(주)씨제이이엔엠,2012-01,한국,534.0,30129259500.0,4057546.0,코미디,12세이상관람가,일반영화
우리 생애 최고의 순간,임순례,(주)엠케이픽처스,(주)싸이더스,2008-01,한국,418.0,26151780425.0,4044582.0,드라마,전체관람가,일반영화
꾼,장창원,(주)영화사두둥,(주)쇼박스,2017-11,한국,1314.0,31313568795.0,4018341.0,범죄,15세이상관람가,일반영화
혹성탈출: 반격의 서막,맷 리브스,,이십세기폭스코리아(주),2014-07,미국,922.0,31509793095.0,4002134.0,액션,12세이상관람가,일반영화
타짜-신의 손,강형철,(주)싸이더스,롯데쇼핑㈜롯데엔터테인먼트(주)싸이더스,2014-09,한국,890.0,32267244827.0,4001813.0,드라마,청소년관람불가,일반영화
쿵푸팬더3,여인영알레산드로 칼로니,드림웍스 애니메이션,(주)씨제이이엔엠,2016-01,미국,1365.0,31340798156.0,3984812.0,애니메이션,전체관람가,일반영화
캡틴 아메리카: 윈터 솔져,조 루소안소니 루소,마블 스튜디오,월트디즈니컴퍼니코리아 유한책임회사소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-03,미국,1106.0,31710585385.0,3963220.0,액션,15세이상관람가,일반영화
박수건달,조진규,주식회사 제이앤피박수건달문화산업전문(유)(주)쇼박스,(주)쇼박스,2013-01,한국,599.0,28343986569.0,3893216.0,코미디,15세이상관람가,일반영화
