NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
43,웬디,벤 제틀린,,(주)영화사 진진,"(주)영화사 진진,하이, 스트레인저",20210630,개봉영화,장편,미국,79,,,,,드라마,12세이상관람가,독립/예술영화
44,실크 로드,,,(주)퍼스트런,(주)디스테이션,20210609,개봉영화,장편,미국,106,,,,944,범죄,15세이상관람가,일반영화
45,강호아녀,지아 장 커,,(주)에스와이코마드,(주)에스와이코마드,20210610,개봉영화,장편,프랑스,45,,,,,드라마,15세이상관람가,독립/예술영화
46,그레타 툰베리,나탄 그로스만,,(주)영화사 진진,(주)영화사 진진,20210617,개봉영화,장편,미국,30,,,,,다큐멘터리,전체관람가,독립/예술영화
47,혼자 사는 사람들,홍성은,한국영화아카데미,,주식회사 더쿱,20210519,개봉영화,장편,한국,159,,,,,드라마,12세이상관람가,독립/예술영화
48,블라이스 스피릿,에드워드 홀,,,(주)이놀미디어,20210630,개봉영화,장편,영국,135,,,,,판타지,12세이상관람가,독립/예술영화
49,다크 앤드 위키드,브라이언 버티노,,(주)히스토리필름,와이드 릴리즈(주),20210630,개봉영화,장편,미국,164,,,,756,공포(호러),15세이상관람가,일반영화
50,전야,김상민,(주)영화사 길,,(주)이놀미디어,20210603,개봉영화,장편,한국,55,,,,787,액션,청소년관람불가,일반영화
51,청춘선거,민환기,오프 램프,,아이 엠,20210617,개봉영화,장편,한국,27,,,,924,다큐멘터리,12세이상관람가,독립/예술영화
52,더 파더,플로리안 젤러,,판씨네마(주),판씨네마(주),20210407,개봉영화,장편,영국,348,,,,,드라마,12세이상관람가,독립/예술영화
53,#위왓치유,"바르보라 차르포바,비트 클루삭",,,찬란,20210603,개봉영화,장편,기타,38,,,,912,다큐멘터리,청소년관람불가,독립/예술영화
54,화이트 온 화이트,,,대성필름,"대성필름,시네마 뉴원",20210610,개봉영화,장편,스페인,34,,,,811,드라마,12세이상관람가,독립/예술영화
55,신비아파트 뮤지컬 시즌3 : 뱀파이어왕의 비밀,김종해,(주)씨제이이엔엠,,(주)씨제이이엔엠,20210522,개봉영화,장편,한국,55,,,,324,공연,전체관람가,일반영화
56,프라도 위대한 미술관,발레리아 파리시,,,CGV ICECON,20210609,개봉영화,장편,이탈리아,22,,,,589,다큐멘터리,전체관람가,일반영화
57,더 스파이,도미닉 쿡,,(유)조이앤시네마,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",20210428,개봉영화,장편,미국,710,,,,903,스릴러,15세이상관람가,일반영화
58,아들의 이름으로,이정국,영화사 혼,,(주)엣나인필름,20210512,개봉영화,장편,한국,423,,,,696,드라마,12세이상관람가,독립/예술영화
59,더 데빌,이지나,씨제이 씨지브이(CJ CGV)(주),,CGV ICECON,20210623,개봉영화,장편,한국,19,,,,619,뮤지컬,15세이상관람가,일반영화
60,신해석 삼국지,후쿠다 유이치,,(주)미디어캐슬,"(주)리틀빅픽쳐스,(주)레드로버",20210624,개봉영화,장편,일본,17,,,,885,코미디,12세이상관람가,독립/예술영화
61,슈퍼노바,,,찬란,(주)디스테이션,20210512,개봉영화,장편,영국,184,,,,966,드라마,15세이상관람가,독립/예술영화
62,뱅퀴시,조지 갈로,,,(주)까멜리아이엔티,20210624,개봉영화,장편,미국,48,,,,89,액션,15세이상관람가,일반영화
63,까치발,권우정,다큐이야기,,(주)시네마달,20210603,개봉영화,장편,한국,27,,975,,559,다큐멘터리,12세이상관람가,독립/예술영화
64,데이팅 앰버,데이빗 프레인,,주식회사 왓챠,주식회사 왓챠,20210623,개봉영화,장편,기타,33,,955,,510,코미디,15세이상관람가,독립/예술영화
65,내겐 너무 소중한 너,"이창원,권성모",(주)파인스토리,,(주)파인스토리,20210512,개봉영화,장편,한국,449,,946,,412,드라마,12세이상관람가,독립/예술영화
66,쿠사마 야요이: 무한의 세계,,,오드,오드,20210519,개봉영화,장편,미국,38,,919,,483,다큐멘터리,전체관람가,독립/예술영화
67,포겟 미 낫-엄마에게 쓰는 편지,신선희,(주)민치앤필름,,커넥트픽쳐스(주),20210603,개봉영화,장편,한국,33,,878,,664,다큐멘터리,12세이상관람가,독립/예술영화
68,"좋은 빛, 좋은 공기",임흥순,반달,,(주)엣나인필름,20210428,개봉영화,장편,한국,62,,694,,472,다큐멘터리,12세이상관람가,독립/예술영화
69,명탐정 코난: 비색의 탄환,나가오카 치카,,,(주)씨제이이엔엠,20210416,개봉영화,장편,일본,844,,692,,326,애니메이션,12세이상관람가,일반영화
70,북샵,이자벨 코이젯트,,(주)콘텐츠판다,(주)콘텐츠판다,20210624,개봉영화,장편,스페인,9,,640,,323,드라마,전체관람가,독립/예술영화
71,"쿠오바디스,아이다",야스밀라 즈바니치,,M&M 인터내셔널,M&M 인터내셔널,20210519,개봉영화,장편,기타,44,,639,,315,드라마,15세이상관람가,독립/예술영화
72,2067,세스 라니,,주식회사 더쿱,예지림엔터테인먼트,20210603,개봉영화,장편,호주,36,,509,,179,어드벤처,12세이상관람가,독립/예술영화
73,라야와 마지막 드래곤,"돈 홀,카를로스 로페즈 에스트라다",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20210304,개봉영화,장편,미국,,,500,,500,애니메이션,전체관람가,일반영화
74,우리는 매일매일,강유가람,영희야 놀자,,㈜인디스토리,20210630,개봉영화,장편,한국,30,,468,,429,다큐멘터리,12세이상관람가,독립/예술영화
75,극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발,,,"(주)얼리버드픽쳐스,와이드 릴리즈(주)",주식회사 컨텐츠썬,20210428,개봉영화,장편,영국,183,,467,,72,애니메이션,전체관람가,일반영화
76,레일로드 워,장성,,(주)엔케이컨텐츠,(주)디스테이션,20210630,개봉영화,장편,중국,45,,466,,371,액션,12세이상관람가,독립/예술영화
77,폭력의 그림자,,,(주)디오시네마,(주)디오시네마,20210617,개봉영화,장편,영국,33,,416,,177,범죄,청소년관람불가,독립/예술영화
78,"식물카페, 온정",최창환,매치컷(주),,매치컷(주),20210624,개봉영화,장편,한국,19,,410,,219,기타,전체관람가,독립/예술영화
79,신 테니스의 왕자 효테이 vs 릿카이 : 게임 오브 퓨처 후편,카와구치 케이이치로,,(주)얼리버드픽쳐스,(주)얼리버드픽쳐스,20210609,개봉영화,장편,일본,11,,368,,210,애니메이션,전체관람가,독립/예술영화
80,전주에서 길을 묻다,진승현,(주)진진엔터테인먼트필름,,주식회사 씨엠닉스,20210601,개봉영화,장편,한국,1,,360,,124,드라마,12세이상관람가,독립/예술영화
81,열아홉,우경희,K'arts,,(주)리틀빅픽쳐스,20210630,개봉영화,장편,한국,26,,310,,249,드라마,15세이상관람가,독립/예술영화
82,젊은엄마의 실제정사,정민수,(주)로드하우스,,노바엔터테인먼트,20210617,개봉영화,장편,한국,20,,309,,142,멜로/로맨스,청소년관람불가,일반영화
83,"조제, 호랑이 그리고 물고기들",타무라 코타로,,(주)에이원엔터테인먼트,(주)팝엔터테인먼트,20210331,개봉영화,장편,일본,399,,305,,305,애니메이션,12세이상관람가,독립/예술영화
84,자산어보,이준익,(주)씨네월드,,메가박스중앙(주)플러스엠,20210331,개봉영화,장편,한국,,,297,,80,사극,12세이상관람가,일반영화
85,푸드 몬스터,,,(주)나우콘텐츠,(주)이놀미디어,20210519,개봉영화,장편,중국,62,,292,0,0,애니메이션,전체관람가,일반영화
86,네가 내가 되었으면 좋겠다,김충길,주식회사 씨엠닉스,,주식회사 씨엠닉스,20210601,개봉영화,장편,한국,1,,280,,41,기타,12세이상관람가,독립/예술영화
87,범털 2: 쩐의 전쟁,강태호,(주)피터팬픽쳐스,,(주)피터팬픽쳐스,20210513,개봉영화,장편,한국,30,,271,,271,범죄,15세이상관람가,일반영화
88,고질라 VS. 콩,아담 윈가드,,워너브러더스 코리아(주),워너브러더스 코리아(주),20210325,개봉영화,장편,미국,,,250,0,0,액션,12세이상관람가,일반영화
89,"2021 스웨그 에이지 : 외쳐, 조선!","우진하,곽기영",(주)피엘종합기획,,(주)위즈온센,20210513,개봉영화,장편,한국,34,,244,,181,뮤지컬,12세이상관람가,일반영화
